"Alt. ID(s) interactor A","Interaction detection method(s)","Interaction type(s)","Confidence value(s)","Expansion method(s)","Experimental role(s) interactor A","Experimental role(s) interactor B","Type(s) interactor A","Type(s) interactor B","Host organism(s)","Negative","Feature(s) interactor A","Feature(s) interactor B","Mi_score","interactor_A","interactor_B"
"intact:EBI-350145|uniprotkb:Q9BR65|uniprotkb:Q14080|uniprotkb:Q6FHV9|uniprotkb:B5BUA0|uniprotkb:Q9UCE2|ensembl:ENSP00000309845.7|ensembl:ENSP00000380723.2|ensembl:ENSP00000407586.1|ensembl:ENSP00000480686.1|ensembl:ENSP00000482366.1|ensembl:ENSP00000488757.1","psi-mi:""MI:0096""(pull down)","psi-mi:""MI:0915""(physical association)","intact-miscore:0.51","-","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-293)|taxid:9606(Homo sapiens HEK293 embryonic kidney cell)",FALSE,"mutation:12-12|necessary binding region:186-189|glutathione s tranferase tag:?-?","myc tag:?-?","0.51","P01112","Q9Z0S9"
"intact:EBI-1102694|uniprotkb:Q5T0X6|uniprotkb:Q5W0C5|uniprotkb:B7UEF2|uniprotkb:B7UEF3|uniprotkb:B7UEF4|uniprotkb:B7UEF5|uniprotkb:Q6NZY6|uniprotkb:Q7Z301|uniprotkb:A0M8X0|ensembl:ENSP00000427562.1","psi-mi:""MI:0007""(anti tag coimmunoprecipitation)","psi-mi:""MI:0914""(association)","intact-miscore:0.46","psi-mi:""MI:1060""(spoke expansion)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-293t)|taxid:9606(Homo sapiens HEK293T embryonic kidney cell)",FALSE,"flag tag:?-?","mutation:12-12","0.46","P42684","P01112"
"intact:EBI-350145|uniprotkb:Q9BR65|uniprotkb:Q14080|uniprotkb:Q6FHV9|uniprotkb:B5BUA0|uniprotkb:Q9UCE2|ensembl:ENSP00000309845.7|ensembl:ENSP00000380723.2|ensembl:ENSP00000407586.1|ensembl:ENSP00000480686.1|ensembl:ENSP00000482366.1|ensembl:ENSP00000488757.1","psi-mi:""MI:0006""(anti bait coimmunoprecipitation)","psi-mi:""MI:0914""(association)","intact-miscore:0.46","psi-mi:""MI:1060""(spoke expansion)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-293t)|taxid:9606(Homo sapiens HEK293T embryonic kidney cell)",FALSE,"mutation:12-12","flag tag:?-?","0.46","P01112","P42684"
"intact:EBI-350145|uniprotkb:Q9BR65|uniprotkb:Q14080|uniprotkb:Q6FHV9|uniprotkb:B5BUA0|uniprotkb:Q9UCE2|ensembl:ENSP00000309845.7|ensembl:ENSP00000380723.2|ensembl:ENSP00000407586.1|ensembl:ENSP00000480686.1|ensembl:ENSP00000482366.1|ensembl:ENSP00000488757.1","psi-mi:""MI:0006""(anti bait coimmunoprecipitation)","psi-mi:""MI:0914""(association)","intact-miscore:0.93","psi-mi:""MI:1060""(spoke expansion)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-293t)|taxid:9606(Homo sapiens HEK293T embryonic kidney cell)",FALSE,"mutation:12-12","-","0.93","P01112","Q13671"
"intact:EBI-365996|uniprotkb:B0LPH8|uniprotkb:Q15278|uniprotkb:Q9UC20|uniprotkb:B2R5N3|ensembl:ENSP00000251849.4|ensembl:ENSP00000508763.1|ensembl:ENSP00000509968.1","psi-mi:""MI:0006""(anti bait coimmunoprecipitation)","psi-mi:""MI:0915""(physical association)","intact-miscore:0.98","psi-mi:""MI:1060""(spoke expansion)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0684""(ancillary)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-k_562)|taxid:9606(Homo sapiens K562 myeloid leukemia cell)",FALSE,"-","mutation:12-12","0.98","P04049","P01112"
"intact:EBI-2819725|uniprotkb:B3KQG3|uniprotkb:Q53GX3|uniprotkb:Q5THD4|ensembl:ENSP00000366006.5","psi-mi:""MI:0007""(anti tag coimmunoprecipitation)","psi-mi:""MI:0915""(physical association)","intact-miscore:0.58","-","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-293t)|taxid:9606(Homo sapiens HEK293T embryonic kidney cell)",FALSE,"-","flag tag:?-?|mutation increasing interaction:12-12","0.58","Q9Y5Z9","P01112"
"intact:EBI-350145|uniprotkb:Q9BR65|uniprotkb:Q14080|uniprotkb:Q6FHV9|uniprotkb:B5BUA0|uniprotkb:Q9UCE2|ensembl:ENSP00000309845.7|ensembl:ENSP00000380723.2|ensembl:ENSP00000407586.1|ensembl:ENSP00000480686.1|ensembl:ENSP00000482366.1|ensembl:ENSP00000488757.1","psi-mi:""MI:0007""(anti tag coimmunoprecipitation)","psi-mi:""MI:0915""(physical association)","intact-miscore:0.60","-","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-293)|taxid:9606(Homo sapiens HEK293 embryonic kidney cell)",FALSE,"mutation causing an interaction:12-12|flag tag:?-?","sufficient binding region:1170-1570|myc tag:?-?","0.60","P01112","P21359"
"intact:EBI-350145|uniprotkb:Q9BR65|uniprotkb:Q14080|uniprotkb:Q6FHV9|uniprotkb:B5BUA0|uniprotkb:Q9UCE2|ensembl:ENSP00000309845.7|ensembl:ENSP00000380723.2|ensembl:ENSP00000407586.1|ensembl:ENSP00000480686.1|ensembl:ENSP00000482366.1|ensembl:ENSP00000488757.1","psi-mi:""MI:0007""(anti tag coimmunoprecipitation)","psi-mi:""MI:0914""(association)","intact-miscore:0.60","-","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-293)|taxid:9606(Homo sapiens HEK293 embryonic kidney cell)",FALSE,"flag tag:?-?|mutation:12-12","sufficient binding region:1170-1570|myc tag:?-?","0.60","P01112","P21359"
"intact:EBI-721993|uniprotkb:Q14971|uniprotkb:Q15104|uniprotkb:Q15282|ensembl:ENSP00000358548.4","psi-mi:""MI:1314""(proximity-dependent biotin identification)","psi-mi:""MI:2364""(proximity)","intact-miscore:0.48","psi-mi:""MI:1060""(spoke expansion)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-293tert)|taxid:9606(Homo sapiens HEK293TERT/HT embryonic kidney cell)",FALSE,"mutation:12-12|tandem tag:n-n","-","0.48","P01111","P01112"
"intact:EBI-350145|uniprotkb:Q9BR65|uniprotkb:Q14080|uniprotkb:Q6FHV9|uniprotkb:B5BUA0|uniprotkb:Q9UCE2|ensembl:ENSP00000309845.7|ensembl:ENSP00000380723.2|ensembl:ENSP00000407586.1|ensembl:ENSP00000480686.1|ensembl:ENSP00000482366.1|ensembl:ENSP00000488757.1","psi-mi:""MI:1314""(proximity-dependent biotin identification)","psi-mi:""MI:2364""(proximity)","intact-miscore:0.27","psi-mi:""MI:1060""(spoke expansion)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-293tert)|taxid:9606(Homo sapiens HEK293TERT/HT embryonic kidney cell)",FALSE,"tandem tag:n-n|mutation:12-12","-","0.27","P01112","Q9NRY5"
