"Alt. ID(s) interactor A","Interaction detection method(s)","Interaction type(s)","Confidence value(s)","Expansion method(s)","Experimental role(s) interactor A","Experimental role(s) interactor B","Type(s) interactor A","Type(s) interactor B","Host organism(s)","Negative","Feature(s) interactor A","Feature(s) interactor B","Mi_score","interactor_A","interactor_B"
"intact:EBI-367415|uniprotkb:P01118|uniprotkb:Q96D10|uniprotkb:B0LPF9|uniprotkb:A8K8Z5|ensembl:ENSP00000256078.5","psi-mi:""MI:0007""(anti tag coimmunoprecipitation)","psi-mi:""MI:0915""(physical association)","intact-miscore:0.54","-","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-293t)|taxid:9606(Homo sapiens HEK293T embryonic kidney cell)",FALSE,"ha tag:?-?|mutation:12-12|mutation disrupting interaction:37-37,12-12|mutation decreasing interaction:35-35,12-12|mutation disrupting interaction:40-40,12-12","flag tag:?-?","0.54","P01116","P50749"
"intact:EBI-492564|ensembl:ENSP00000302486.5","psi-mi:""MI:0007""(anti tag coimmunoprecipitation)","psi-mi:""MI:0914""(association)","intact-miscore:0.35","psi-mi:""MI:1060""(spoke expansion)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-hct116)|taxid:9606(Homo sapiens HCT116 colon carcinoma cell)",FALSE,"flag tag:n-n","mutation:13-13","0.35","Q02750","P01116"
"intact:EBI-365996|uniprotkb:B0LPH8|uniprotkb:Q15278|uniprotkb:Q9UC20|uniprotkb:B2R5N3|ensembl:ENSP00000251849.4|ensembl:ENSP00000508763.1|ensembl:ENSP00000509968.1","psi-mi:""MI:0007""(anti tag coimmunoprecipitation)","psi-mi:""MI:0914""(association)","intact-miscore:0.69","psi-mi:""MI:1060""(spoke expansion)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-hct116)|taxid:9606(Homo sapiens HCT116 colon carcinoma cell)",FALSE,"flag tag:n-n","mutation:13-13","0.69","P04049","P01116"
"intact:EBI-365980|uniprotkb:Q13878|uniprotkb:Q3MIN6|intact:EBI-28988924|uniprotkb:Q9UDP8|uniprotkb:Q9Y6T3|uniprotkb:A4D1T4|uniprotkb:B6HY61|uniprotkb:B6HY62|uniprotkb:B6HY63|uniprotkb:B6HY64|uniprotkb:B6HY65|uniprotkb:B6HY66|ensembl:ENSP00000493543.1","psi-mi:""MI:0007""(anti tag coimmunoprecipitation)","psi-mi:""MI:0914""(association)","intact-miscore:0.68","psi-mi:""MI:1060""(spoke expansion)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-hct116)|taxid:9606(Homo sapiens HCT116 colon carcinoma cell)",FALSE,"flag tag:n-n","mutation:13-13","0.68","P15056","P01116"
"intact:EBI-492564|ensembl:ENSP00000302486.5","psi-mi:""MI:0007""(anti tag coimmunoprecipitation)","psi-mi:""MI:0914""(association)","intact-miscore:0.35","psi-mi:""MI:1060""(spoke expansion)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-hke3)|taxid:9606(Homo sapiens HKe-3 colonic carcinoma cell)",FALSE,"flag tag:n-n","mutation:13-13","0.35","Q02750","P01116"
"intact:EBI-365996|uniprotkb:B0LPH8|uniprotkb:Q15278|uniprotkb:Q9UC20|uniprotkb:B2R5N3|ensembl:ENSP00000251849.4|ensembl:ENSP00000508763.1|ensembl:ENSP00000509968.1","psi-mi:""MI:0007""(anti tag coimmunoprecipitation)","psi-mi:""MI:0914""(association)","intact-miscore:0.69","psi-mi:""MI:1060""(spoke expansion)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-hke3)|taxid:9606(Homo sapiens HKe-3 colonic carcinoma cell)",FALSE,"flag tag:n-n","mutation:13-13","0.69","P04049","P01116"
"intact:EBI-365980|uniprotkb:Q13878|uniprotkb:Q3MIN6|intact:EBI-28988924|uniprotkb:Q9UDP8|uniprotkb:Q9Y6T3|uniprotkb:A4D1T4|uniprotkb:B6HY61|uniprotkb:B6HY62|uniprotkb:B6HY63|uniprotkb:B6HY64|uniprotkb:B6HY65|uniprotkb:B6HY66|ensembl:ENSP00000493543.1","psi-mi:""MI:0007""(anti tag coimmunoprecipitation)","psi-mi:""MI:0914""(association)","intact-miscore:0.68","psi-mi:""MI:1060""(spoke expansion)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-hke3)|taxid:9606(Homo sapiens HKe-3 colonic carcinoma cell)",FALSE,"flag tag:n-n","mutation:13-13","0.68","P15056","P01116"
"intact:EBI-367415|uniprotkb:P01118|uniprotkb:Q96D10|uniprotkb:B0LPF9|uniprotkb:A8K8Z5|ensembl:ENSP00000256078.5","psi-mi:""MI:1314""(proximity-dependent biotin identification)","psi-mi:""MI:2364""(proximity)","intact-miscore:0.27","psi-mi:""MI:1060""(spoke expansion)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-293tert)|taxid:9606(Homo sapiens HEK293TERT/HT embryonic kidney cell)",FALSE,"mutation:12-12|tandem tag:n-n","-","0.27","P01116","P29966"
"intact:EBI-367415|uniprotkb:P01118|uniprotkb:Q96D10|uniprotkb:B0LPF9|uniprotkb:A8K8Z5|ensembl:ENSP00000256078.5","psi-mi:""MI:1314""(proximity-dependent biotin identification)","psi-mi:""MI:2364""(proximity)","intact-miscore:0.27","psi-mi:""MI:1060""(spoke expansion)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-293tert)|taxid:9606(Homo sapiens HEK293TERT/HT embryonic kidney cell)",FALSE,"mutation:12-12|tandem tag:n-n","-","0.27","P01116","A0FGR8"
"intact:EBI-367415|uniprotkb:P01118|uniprotkb:Q96D10|uniprotkb:B0LPF9|uniprotkb:A8K8Z5|ensembl:ENSP00000256078.5","psi-mi:""MI:1314""(proximity-dependent biotin identification)","psi-mi:""MI:2364""(proximity)","intact-miscore:0.27","psi-mi:""MI:1060""(spoke expansion)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-293tert)|taxid:9606(Homo sapiens HEK293TERT/HT embryonic kidney cell)",FALSE,"mutation:12-12|tandem tag:n-n","-","0.27","P01116","A4D1S0"
"intact:EBI-367415|uniprotkb:P01118|uniprotkb:Q96D10|uniprotkb:B0LPF9|uniprotkb:A8K8Z5|ensembl:ENSP00000256078.5","psi-mi:""MI:1314""(proximity-dependent biotin identification)","psi-mi:""MI:2364""(proximity)","intact-miscore:0.27","psi-mi:""MI:1060""(spoke expansion)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-293tert)|taxid:9606(Homo sapiens HEK293TERT/HT embryonic kidney cell)",FALSE,"mutation:12-12|tandem tag:n-n","-","0.27","P01116","A6NIZ1"
"intact:EBI-367415|uniprotkb:P01118|uniprotkb:Q96D10|uniprotkb:B0LPF9|uniprotkb:A8K8Z5|ensembl:ENSP00000256078.5","psi-mi:""MI:1314""(proximity-dependent biotin identification)","psi-mi:""MI:2364""(proximity)","intact-miscore:0.27","psi-mi:""MI:1060""(spoke expansion)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-293tert)|taxid:9606(Homo sapiens HEK293TERT/HT embryonic kidney cell)",FALSE,"mutation:12-12|tandem tag:n-n","-","0.27","P01116","A8MVW0"
"intact:EBI-367415|uniprotkb:P01118|uniprotkb:Q96D10|uniprotkb:B0LPF9|uniprotkb:A8K8Z5|ensembl:ENSP00000256078.5","psi-mi:""MI:1314""(proximity-dependent biotin identification)","psi-mi:""MI:2364""(proximity)","intact-miscore:0.27","psi-mi:""MI:1060""(spoke expansion)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-293tert)|taxid:9606(Homo sapiens HEK293TERT/HT embryonic kidney cell)",FALSE,"mutation:12-12|tandem tag:n-n","-","0.27","P01116","O00124"
"intact:EBI-367415|uniprotkb:P01118|uniprotkb:Q96D10|uniprotkb:B0LPF9|uniprotkb:A8K8Z5|ensembl:ENSP00000256078.5","psi-mi:""MI:1314""(proximity-dependent biotin identification)","psi-mi:""MI:2364""(proximity)","intact-miscore:0.27","psi-mi:""MI:1060""(spoke expansion)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-293tert)|taxid:9606(Homo sapiens HEK293TERT/HT embryonic kidney cell)",FALSE,"mutation:12-12|tandem tag:n-n","-","0.27","P01116","O00161"
"intact:EBI-367415|uniprotkb:P01118|uniprotkb:Q96D10|uniprotkb:B0LPF9|uniprotkb:A8K8Z5|ensembl:ENSP00000256078.5","psi-mi:""MI:1314""(proximity-dependent biotin identification)","psi-mi:""MI:2364""(proximity)","intact-miscore:0.27","psi-mi:""MI:1060""(spoke expansion)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-293tert)|taxid:9606(Homo sapiens HEK293TERT/HT embryonic kidney cell)",FALSE,"mutation:12-12|tandem tag:n-n","-","0.27","P01116","O00186"
"intact:EBI-367415|uniprotkb:P01118|uniprotkb:Q96D10|uniprotkb:B0LPF9|uniprotkb:A8K8Z5|ensembl:ENSP00000256078.5","psi-mi:""MI:1314""(proximity-dependent biotin identification)","psi-mi:""MI:2364""(proximity)","intact-miscore:0.27","psi-mi:""MI:1060""(spoke expansion)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-293tert)|taxid:9606(Homo sapiens HEK293TERT/HT embryonic kidney cell)",FALSE,"mutation:12-12|tandem tag:n-n","-","0.27","P01116","O00213"
"intact:EBI-367415|uniprotkb:P01118|uniprotkb:Q96D10|uniprotkb:B0LPF9|uniprotkb:A8K8Z5|ensembl:ENSP00000256078.5","psi-mi:""MI:1314""(proximity-dependent biotin identification)","psi-mi:""MI:2364""(proximity)","intact-miscore:0.27","psi-mi:""MI:1060""(spoke expansion)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-293tert)|taxid:9606(Homo sapiens HEK293TERT/HT embryonic kidney cell)",FALSE,"mutation:12-12|tandem tag:n-n","-","0.27","P01116","O00303"
