"Alt. ID(s) interactor A","Interaction detection method(s)","Interaction type(s)","Confidence value(s)","Expansion method(s)","Experimental role(s) interactor A","Experimental role(s) interactor B","Type(s) interactor A","Type(s) interactor B","Host organism(s)","Negative","Feature(s) interactor A","Feature(s) interactor B","Mi_score","interactor_A","interactor_B"
"intact:EBI-721993|uniprotkb:Q14971|uniprotkb:Q15104|uniprotkb:Q15282|ensembl:ENSP00000358548.4","psi-mi:""MI:0007""(anti tag coimmunoprecipitation)","psi-mi:""MI:0915""(physical association)","intact-miscore:0.40","-","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human)|taxid:9606(Homo sapiens)",FALSE,"mutation increasing interaction:12-12|ha tag:n-n","myc tag:n-n","0.40","P01111","Q03160"
"intact:EBI-721993|uniprotkb:Q14971|uniprotkb:Q15104|uniprotkb:Q15282|ensembl:ENSP00000358548.4","psi-mi:""MI:0007""(anti tag coimmunoprecipitation)","psi-mi:""MI:0915""(physical association)","intact-miscore:0.40","-","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human)|taxid:9606(Homo sapiens)",FALSE,"mutation increasing interaction:12-12|ha tag:n-n","myc tag:n-n|mutation disrupting interaction:140-140|mutation disrupting interaction:252-252","0.40","P01111","Q14449"
"intact:EBI-15796145|ensembl:ENSP00000338543.3|ensembl:ENSP00000381790.2|ensembl:ENSP00000385046.1|ensembl:ENSP00000385189.1|ensembl:ENSP00000385366.1|ensembl:ENSP00000385544.2|ensembl:ENSP00000385748.1|ensembl:ENSP00000495341.2|ensembl:ENSP00000496245.1","psi-mi:""MI:0007""(anti tag coimmunoprecipitation)","psi-mi:""MI:0915""(physical association)","intact-miscore:0.40","-","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human)|taxid:9606(Homo sapiens)",FALSE,"myc tag:?-?","mutation increasing interaction:12-12|ha tag:n-n","0.40","Q13322-3","P01111"
"intact:EBI-721993|uniprotkb:Q14971|uniprotkb:Q15104|uniprotkb:Q15282|ensembl:ENSP00000358548.4","psi-mi:""MI:0006""(anti bait coimmunoprecipitation)","psi-mi:""MI:0915""(physical association)","intact-miscore:0.86","-","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human)|taxid:9606(Homo sapiens)",FALSE,"flag tag:n-n","mutation decreasing interaction:151-151","0.86","P01111","P15056"
"intact:EBI-721993|uniprotkb:Q14971|uniprotkb:Q15104|uniprotkb:Q15282|ensembl:ENSP00000358548.4","psi-mi:""MI:1314""(proximity-dependent biotin identification)","psi-mi:""MI:2364""(proximity)","intact-miscore:0.48","psi-mi:""MI:1060""(spoke expansion)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-293tert)|taxid:9606(Homo sapiens HEK293TERT/HT embryonic kidney cell)",FALSE,"mutation:12-12|tandem tag:n-n","-","0.48","P01111","P41091"
"intact:EBI-721993|uniprotkb:Q14971|uniprotkb:Q15104|uniprotkb:Q15282|ensembl:ENSP00000358548.4","psi-mi:""MI:1314""(proximity-dependent biotin identification)","psi-mi:""MI:2364""(proximity)","intact-miscore:0.27","psi-mi:""MI:1060""(spoke expansion)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-293tert)|taxid:9606(Homo sapiens HEK293TERT/HT embryonic kidney cell)",FALSE,"mutation:12-12|tandem tag:n-n","-","0.27","P01111","P02786"
"intact:EBI-721993|uniprotkb:Q14971|uniprotkb:Q15104|uniprotkb:Q15282|ensembl:ENSP00000358548.4","psi-mi:""MI:1314""(proximity-dependent biotin identification)","psi-mi:""MI:2364""(proximity)","intact-miscore:0.27","psi-mi:""MI:1060""(spoke expansion)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-293tert)|taxid:9606(Homo sapiens HEK293TERT/HT embryonic kidney cell)",FALSE,"mutation:12-12|tandem tag:n-n","-","0.27","P01111","Q9H2G9"
"intact:EBI-721993|uniprotkb:Q14971|uniprotkb:Q15104|uniprotkb:Q15282|ensembl:ENSP00000358548.4","psi-mi:""MI:1314""(proximity-dependent biotin identification)","psi-mi:""MI:2364""(proximity)","intact-miscore:0.27","psi-mi:""MI:1060""(spoke expansion)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-293tert)|taxid:9606(Homo sapiens HEK293TERT/HT embryonic kidney cell)",FALSE,"mutation:12-12|tandem tag:n-n","-","0.27","P01111","Q9Y679"
"intact:EBI-721993|uniprotkb:Q14971|uniprotkb:Q15104|uniprotkb:Q15282|ensembl:ENSP00000358548.4","psi-mi:""MI:1314""(proximity-dependent biotin identification)","psi-mi:""MI:2364""(proximity)","intact-miscore:0.27","psi-mi:""MI:1060""(spoke expansion)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-293tert)|taxid:9606(Homo sapiens HEK293TERT/HT embryonic kidney cell)",FALSE,"mutation:12-12|tandem tag:n-n","-","0.27","P01111","P30825"
"intact:EBI-721993|uniprotkb:Q14971|uniprotkb:Q15104|uniprotkb:Q15282|ensembl:ENSP00000358548.4","psi-mi:""MI:1314""(proximity-dependent biotin identification)","psi-mi:""MI:2364""(proximity)","intact-miscore:0.27","psi-mi:""MI:1060""(spoke expansion)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)","taxid:9606(human-293tert)|taxid:9606(Homo sapiens HEK293TERT/HT embryonic kidney cell)",FALSE,"mutation:12-12|tandem tag:n-n","-","0.27","P01111","Q8WTV0"
