,logFC,AveExpr,t,P.Value,adj.P.Val,B
DPPA5,0.678017064814569,0.0355910535952685,8.77351307908386,8.62533895396883e-18,8.03895966074818e-14,28.4166852769551
KIR3DX1,0.537358567589973,0.0673777804198607,8.07193322021066,2.21869744073538e-15,1.24071779583363e-11,23.3349047581506
AC005725.1,0.533133299648294,0.032736443164259,7.95214562612819,5.50689911398744e-15,2.5662608779441e-11,22.5032237212431
RP5-991C6.2,0.593331625452484,0.077344944255725,7.6661176560339,4.60813241109662e-14,1.84065266114953e-10,20.5607038138457
LINC00676,0.547798921877077,0.0268787614799687,7.50863678015367,1.44308592314385e-13,5.37992052720847e-10,19.5175593905776
CNTNAP3,0.623423565364368,0.214137708402792,6.24141719245214,6.6838062280276e-10,1.55735470032305e-06,11.825801501444
RP11-59D5__B.2,1.09966732588722,0.365990358405039,5.75293522890192,1.20336637740493e-08,2.32046383416762e-05,9.20486183008438
AC006262.10,0.635780579544436,0.0847033837435051,5.47839640678249,5.57850527536047e-08,9.74861229698228e-05,7.81842119606216
LIPK,0.626530278337554,0.131218310172592,4.83527193395344,1.5644466684851e-06,0.0020829862416275,4.81914321146928
IFITM5,0.592458090658049,0.152473059151595,4.80084801763625,1.85086069121629e-06,0.00235231774348878,4.6685428889248
LINC00704,0.683277790280743,0.191320672659781,4.7731501065796,2.11732904239498e-06,0.00257398168216891,4.54810735490175
CXCR2,0.696960235427375,0.372005368007165,4.74463581960816,2.4300475195965e-06,0.00289129122007141,4.42481152349335
KRTAP3-1,0.696764305828326,0.109584344800965,4.39905530863374,1.21793669652554e-05,0.0121394961144349,2.9863787457474
RP11-259O2.1,0.710935876515026,0.30416697135438,4.39164971792981,1.25926672177521e-05,0.0121412852324813,2.95668812377899
ROS1,-0.768915176022523,0.265893497320974,-4.24569463478814,2.40656772775335e-05,0.0224296123172825,2.38128541574148
SLC45A1,0.655647393336441,0.772806650461597,4.11661410457364,4.19987479548448e-05,0.0366970622559825,1.88793687797745
KLC3,1.055801112933,0.929454337398237,4.04406826543835,5.7055639853909e-05,0.0469207122980948,1.61708558713992
