,logFC,AveExpr,t,P.Value,adj.P.Val,B
LEFTY1,1.15598381829952,0.684095980569397,6.6451168367498,5.1227440556967e-11,9.54896567795383e-07,14.5782737886898
ERN2,0.810030996799404,0.607981040561553,6.11651655746498,1.40086886806472e-09,1.56675975942094e-05,11.394397863132
MUC5AC,1.00550466506247,0.426948642936133,6.06136623552361,1.95120860220607e-09,1.81855893739943e-05,11.0761898070896
LEMD1,1.04555559193424,1.13374642402983,5.69410460234225,1.65716195788951e-08,8.42455944064904e-05,9.02533575652808
DPCR1,0.654102969426399,0.218756814709998,5.57768737344058,3.18560451599328e-08,0.000127244421527757,8.40015728814961
MUC2,0.759410038612923,0.499493572417974,5.49538589874598,5.02027427702585e-08,0.000165140445791508,7.96547268702221
RP11-350J20.12,0.709579847473035,0.708842306619087,5.25847252994718,1.79840706195617e-07,0.000529309059535004,6.74805712794514
TFF1,1.65766639224351,1.44354809484719,5.20857015187528,2.33812487762769e-07,0.000622620387056278,6.49806348132438
MUC5B,1.11445210465906,0.911177785182332,5.17807493859906,2.74188224786804e-07,0.000696949078104676,6.34639968230869
DUSP4,0.943104728054317,2.05120125045638,4.9897577112339,7.19980981709964e-07,0.00108816368860008,5.42848453899764
SLC26A3,-0.615274846933855,0.391833426078224,-4.92532950763294,9.94534755956531e-07,0.00142603533558577,5.1218368556533
MST1R,0.72975869334296,1.69852054395326,4.82644024133212,1.62119310558731e-06,0.00204696018172534,4.65853265226791
ATP2C2,0.642146816511928,1.09536904057369,4.8153881506827,1.71126339599218e-06,0.00208033826885389,4.60730759701353
REG4,0.87171418548543,0.531320051443992,4.76698212310275,2.16573654810805e-06,0.00242220307013501,4.38426821900115
RP11-304L19.1,0.591919799727817,1.0534208103799,4.74690273496633,2.38654317497088e-06,0.0025664977093759,4.29237839155882
FUT3,0.828786642698942,1.37627278960053,4.5926372606713,4.97137336241393e-06,0.00441276459999285,3.5987495056758
ETV4,0.952195243873213,2.51293738423633,4.57031229679045,5.51863864279777e-06,0.00474781217759837,3.50018146229505
QSOX1,0.726009355836147,4.27675816343232,4.55582643734179,5.90415426244325e-06,0.00500251834106195,3.43646984152758
MS4A8,0.615630003094831,0.467069923092456,4.5319116067098,6.59770516083054e-06,0.00542573926910006,3.33171101646424
ARL14,0.733290615313981,0.742137457554207,4.49344036666182,7.87988772443165e-06,0.00608362179483121,3.1642948501436
KCNN4,0.939742703135762,2.55537253781551,4.45168398754972,9.54069452187197e-06,0.00690041878291856,2.98412931466791
SLC5A1,0.792675179218456,1.17761531003758,4.42749418233216,1.06508947105689e-05,0.00744510853887153,2.88049520311006
LPCAT4,0.517803251058753,3.11094027324993,4.34605811094036,1.53690962688227e-05,0.0098720958457188,2.53558713481273
SLC26A2,-0.624631818001088,2.22898496563271,-4.28724498270281,1.99552052675802e-05,0.0120419517043148,2.29031780374525
TFF2,0.991429943433416,0.658125901891816,4.2865981539028,2.00122512036296e-05,0.0120419517043148,2.28763817345046
SLC51B,-0.684758034144858,1.11949402618238,-4.21788026898392,2.70440764960897e-05,0.0152760788054326,2.00517412978097
TMEM173,0.58405448689851,3.6523725276826,4.20642064652697,2.84250412692336e-05,0.0154325896389982,1.95849674163371
CHST13,-0.587443658318849,1.08304908783226,-4.16442915203634,3.40813532294165e-05,0.0179798429617189,1.78850165546192
HOXB6,0.653444387433118,1.45825325576155,4.14935782469219,3.63610610931499e-05,0.0185971746703884,1.7278886749542
CLDN10,0.907135467085138,1.18141595938164,4.10448641924755,4.40382335551184e-05,0.0216022987599629,1.54868152910394
CAPN8,0.665703232682863,0.861300632743296,4.07634142710585,4.96145810785944e-05,0.0231208082374673,1.43723511485039
PPP1R1B,0.994393830763192,1.90546224567388,4.05801245433147,5.35997769934014e-05,0.0241722026552258,1.36505521148127
RPL39P40,-0.618966805959,1.15989984060953,-3.9845524444178,7.28316418792506e-05,0.0303941660114147,1.07892007678159
SYT8,0.675294750897737,0.689232751996925,3.96651016750965,7.84694833397445e-05,0.0315690070348335,1.00941581882422
DUSP6,0.683634482003025,4.22991705307606,3.95911799606132,8.08966897604436e-05,0.0323130270578126,0.98102700759107
TOR4A,0.583446496815283,2.49473675037591,3.95074747819973,8.37309098399523e-05,0.0332079163770211,0.948942772675995
SDR16C5,0.613891834062286,0.9698396889224,3.92936660198569,9.14030943306843e-05,0.0353389358830868,0.867287845481723
CTSE,0.943296691574487,1.25067928807456,3.90911364750105,9.92800587813953e-05,0.0374648747367596,0.790335806861836
TMPRSS4,0.68875465998371,1.7214055050176,3.89219541178858,0.000106347814866249,0.0388697787917352,0.726349137720233
DKK4,0.59565144350585,0.411538801494426,3.8697037691641,0.000116482383112058,0.0416397852092411,0.641699158314377
KRT7,1.27479614275886,4.0207652430326,3.86402581548289,0.000119181414608038,0.0421819233309881,0.620404585462316
MYRF,0.63624988851995,1.65981361420311,3.82809205788442,0.000137681120084504,0.0452897995073267,0.486341070135067
PHLDA1,0.679024830676882,3.38637217050349,3.8212775896209,0.000141481994735254,0.045998922253431,0.461054175665759
EFNA5,0.63135867912843,1.63140213911446,3.81055905481869,0.000147661321123232,0.0472282981231558,0.421368545297091
