,logFC,AveExpr,t,P.Value,adj.P.Val,B
AC104135.4,0.590602857760104,0.167470196434222,7.92595273411658,6.60878382001522e-15,3.69569799999071e-10,23.1122046663688
RP11-386M24.8,0.531030602305478,0.0895173885646902,7.19042595097829,1.3484001857952e-12,2.51346289299511e-08,18.0443370617617
MEGT1,-0.580118249155642,0.124188160201748,-7.00910677740196,4.67325646240469e-12,5.58764178535291e-08,16.862167935789
LY6G6D,-0.656621859675854,0.164236388922627,-6.92837315425354,8.05659636015619e-12,7.50888208427157e-08,16.3444832030999
CA14,1.02773486838448,0.704780603213931,6.4024798437782,2.44750878242531e-10,1.24424671474551e-06,13.1048776911734
PIWIL1,0.60883645878599,0.174792147269671,6.33251905716158,3.78692062941028e-10,1.7647365709771e-06,12.6914032167478
RP11-366L20.2,0.541229007457662,0.238647446299844,5.7957332257471,9.37591980750202e-09,3.08418124444306e-05,9.65789146343045
TYR,0.894190530551688,0.229429324951255,5.35316671830599,1.09495918363382e-07,0.000226782268548099,7.3443638080296
AZU1,0.663725530769835,0.183572618743576,5.10355236705714,4.05940254721222e-07,0.000567514624606637,6.11542792871375
DEFA4,0.58467587164961,0.0709648432753783,5.03618956900731,5.72710215319531e-07,0.000767369638050919,5.79324740461843
DCT,0.870668462384761,0.306090496856034,4.96828468676014,8.06941431861511e-07,0.00100277715135839,5.47256579843914
XXyac-YX65C7_A.2,-0.541524642729275,0.862061797403273,-4.61443950656567,4.50763865967296e-06,0.00370693619834664,3.86836631984638
DEFA3,0.726112454201179,0.113136787998886,4.60143286095948,4.7916691267953e-06,0.00382792756056457,3.81154627203153
RGS20,0.623730495045411,0.55201339394167,4.46275640769969,9.10633958386447e-06,0.00619713975914274,3.21524859291534
PRRX1,-0.990878139093823,2.12190557713943,-4.4020867038422,1.19946775294962e-05,0.007536565866595,2.95985686832951
PRTN3,0.521031647407392,0.151159768653921,4.38512480984881,1.29473874228216e-05,0.00795638298979785,2.88905333392146
JAZF1,-0.674995908115498,2.55922400452282,-4.3426789582585,1.56586815757656e-05,0.00902731064328237,2.71301994294433
SLC45A2,0.660576392399305,0.314322405743462,4.24592744714932,2.40075104609086e-05,0.0130342135192667,2.31790337299223
SUSD5,0.766066211565728,0.720488978748896,4.16689917691612,3.3824449261991e-05,0.0176775423100916,2.00150778413625
ADPRH,-0.551422817569976,1.99334508639612,-4.07645279571786,4.97314210895542e-05,0.0231752566562413,1.6464149406689
FAM178B,0.706319528101614,0.483452843115465,4.00838857074247,6.61449032870469e-05,0.0291276274280361,1.38414369294661
SLC26A3,-0.613490953853983,0.31571447094924,-3.94756887146263,8.50441889661423e-05,0.0354907170983257,1.15339074464761
HBD,0.526874606180626,0.148143026051615,3.94469392596896,8.60534416765557e-05,0.0356458852740346,1.14256732941839
AHSP,0.505355725492633,0.152504428513883,3.88106818531595,0.000111514409429624,0.0424217502701632,0.904982480418569
