Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-9824585,"Regulation of MITF-M-dependent genes involved in pigmentation",4,53,0.0032829534192269573,2.233092953440874E-6,1.2505320539268894E-4,6,23,0.001449458028737081,9606,Homo sapiens,"DCT;TYR","","R-HSA-9824981;R-HSA-9855908;R-HSA-9824579;R-HSA-9825848;R-HSA-9907145;R-HSA-9824586"
R-HSA-5662702,"Melanin biosynthesis",3,25,0.0015485629335976214,1.181748145906436E-5,3.308894808538021E-4,4,11,6.932190572220821E-4,9606,Homo sapiens,"SLC45A2;DCT;TYR","","R-HSA-5662662;R-HSA-5662692;R-HSA-5662660;R-HSA-5663050"
R-HSA-6803157,"Antimicrobial peptides",4,123,0.007618929633300298,5.9602558429627805E-5,0.0010728460517333005,11,58,0.0036551550289891607,9606,Homo sapiens,"DEFA4;DEFA3;PRTN3","","R-HSA-6801687;R-HSA-1462039;R-HSA-1462023;R-HSA-1471314;R-HSA-1462003;R-HSA-1461971;R-HSA-1461982;R-HSA-1462014;R-HSA-1471354;R-HSA-6813659;R-HSA-1462041"
R-HSA-1462054,"Alpha-defensins",2,11,6.813676907829534E-4,1.7343157716687152E-4,0.002162866580687761,8,12,7.562389715149988E-4,9606,Homo sapiens,"DEFA4;DEFA3","","R-HSA-1462039;R-HSA-1471314;R-HSA-1462003;R-HSA-1461971;R-HSA-1461982;R-HSA-1462014;R-HSA-1471354;R-HSA-1462041"
R-HSA-9856651,"MITF-M-dependent gene expression",4,168,0.010406342913776016,1.966242346079783E-4,0.002162866580687761,6,113,0.007121250315099571,9606,Homo sapiens,"DCT;TYR","","R-HSA-9824981;R-HSA-9855908;R-HSA-9824579;R-HSA-9825848;R-HSA-9907145;R-HSA-9824586"
R-HSA-9730414,"MITF-M-regulated melanocyte development",4,233,0.01443260654112983,6.733660142873577E-4,0.006060294128586219,6,150,0.009452987143937485,9606,Homo sapiens,"DCT;TYR","","R-HSA-9824981;R-HSA-9855908;R-HSA-9824579;R-HSA-9825848;R-HSA-9907145;R-HSA-9824586"
R-HSA-1461973,"Defensins",2,51,0.0031590683845391476,0.0035717650459625716,0.028574120367700573,9,19,0.0011973783715654147,9606,Homo sapiens,"DEFA4;DEFA3","","R-HSA-1462039;R-HSA-1462023;R-HSA-1471314;R-HSA-1462003;R-HSA-1461971;R-HSA-1461982;R-HSA-1462014;R-HSA-1471354;R-HSA-1462041"
R-HSA-5619085,"Defective SLC26A3 causes congenital secretory chloride diarrhea 1 (DIAR1)",1,3,1.8582755203171457E-4,0.005190139404204208,0.03633097582942946,1,1,6.301991429291656E-5,9606,Homo sapiens,"SLC26A3","","R-HSA-5627737"
R-HSA-6798695,"Neutrophil degranulation",4,478,0.02960852329038652,0.00891420196196191,0.05348521177177146,2,10,6.301991429291656E-4,9606,Homo sapiens,"DEFA4;PRTN3;AZU1","","R-HSA-6798751;R-HSA-6798749"
R-HSA-9911233,"Expression of NOTCH2NL genes",1,12,7.433102081268583E-4,0.020605176203233766,0.10302588101616883,2,9,5.67179228636249E-4,9606,Homo sapiens,"PRTN3","","R-HSA-9911236;R-HSA-9911230"
R-HSA-427601,"Inorganic anion exchange by SLC26 transporters",1,14,8.67195242814668E-4,0.02399932529755766,0.11627716194261994,1,5,3.150995714645828E-4,9606,Homo sapiens,"SLC26A3","","R-HSA-427666"
R-HSA-1475029,"Reversible hydration of carbon dioxide",1,17,0.0010530227948463825,0.029069290485654986,0.11627716194261994,2,8,5.041593143433325E-4,9606,Homo sapiens,"CA14","","R-HSA-1475025;R-HSA-1475017"
R-HSA-449836,"Other interleukin signaling",1,24,0.0014866204162537165,0.04080064040846931,0.11791987266211001,1,17,0.0010713385429795815,9606,Homo sapiens,"PRTN3","","R-HSA-448591"
R-HSA-140875,"Common Pathway of Fibrin Clot Formation",1,25,0.0015485629335976214,0.04246534895466281,0.11791987266211001,1,29,0.0018275775144945803,9606,Homo sapiens,"PRTN3","","R-HSA-5607004"
R-HSA-983231,"Factors involved in megakaryocyte development and platelet production",2,194,0.012016848364717543,0.04440313604494939,0.11791987266211001,1,43,0.0027098563145954123,9606,Homo sapiens,"HBD","","R-HSA-1008220"
R-HSA-109582,"Hemostasis",4,805,0.04986372646184341,0.048667479824397675,0.11791987266211001,3,342,0.021552810688177465,9606,Homo sapiens,"PRTN3;HBD;LY6G6D","","R-HSA-481044;R-HSA-1008220;R-HSA-5607004"
R-HSA-5601884,"PIWI-interacting RNA (piRNA) biogenesis",1,31,0.0019202180376610505,0.052395248586641796,0.11791987266211001,3,15,9.452987143937484E-4,9606,Homo sapiens,"PIWIL1","","R-HSA-5601888;R-HSA-5629203;R-HSA-5615682"
R-HSA-5620971,"Pyroptosis",1,34,0.002106045589692765,0.05732288776766581,0.11791987266211001,1,24,0.0015124779430299975,9606,Homo sapiens,"PRTN3","","R-HSA-9710106"
R-HSA-1592389,"Activation of Matrix Metalloproteinases",1,35,0.00216798810703667,0.05895993633105501,0.11791987266211001,3,27,0.0017015376859087473,9606,Homo sapiens,"PRTN3","","R-HSA-1604712;R-HSA-1592316;R-HSA-1592398"
R-HSA-140877,"Formation of Fibrin Clot (Clotting Cascade)",1,43,0.0026635282457879088,0.07195800033155009,0.14391600066310017,1,61,0.00384421477186791,9606,Homo sapiens,"PRTN3","","R-HSA-5607004"
R-HSA-9958790,"SLC-mediated transport of inorganic anions",1,45,0.0027874132804757185,0.07518036514697202,0.15036073029394403,1,21,0.0013234182001512478,9606,Homo sapiens,"SLC26A3","","R-HSA-427666"
R-HSA-168249,"Innate Immune System",5,1351,0.08368434093161546,0.08001009038984497,0.16002018077968994,14,762,0.04802117469120242,9606,Homo sapiens,"DEFA4;DEFA3;PRTN3;AZU1","","R-HSA-1462039;R-HSA-1471314;R-HSA-1462003;R-HSA-1461971;R-HSA-1461982;R-HSA-1462014;R-HSA-8852716;R-HSA-1471354;R-HSA-1462041;R-HSA-6801687;R-HSA-1462023;R-HSA-6798751;R-HSA-6798749;R-HSA-6813659"
R-HSA-71291,"Metabolism of amino acids and derivatives",3,646,0.04001486620416254,0.0999804896177543,0.18283609280815294,4,293,0.018464834887824553,9606,Homo sapiens,"SLC45A2;DCT;TYR","","R-HSA-5662662;R-HSA-5662692;R-HSA-5662660;R-HSA-5663050"
R-HSA-418597,"G alpha (z) signalling events",1,63,0.003902378592666006,0.10370022952753388,0.18283609280815294,4,13,8.192588858079153E-4,9606,Homo sapiens,"RGS20","","R-HSA-392133;R-HSA-8982018;R-HSA-8982021;R-HSA-8981892"
R-HSA-1442490,"Collagen degradation",1,69,0.004274033696729435,0.11301696014658291,0.18283609280815294,1,34,0.002142677085959163,9606,Homo sapiens,"PRTN3","","R-HSA-2482180"
R-HSA-5218859,"Regulated Necrosis",1,76,0.004707631318136769,0.12376846989770185,0.18283609280815294,1,53,0.003340055457524578,9606,Homo sapiens,"PRTN3","","R-HSA-9710106"
R-HSA-211000,"Gene Silencing by RNA",1,85,0.005265113974231913,0.13740730112313948,0.18283609280815294,3,40,0.0025207965717166624,9606,Homo sapiens,"PIWIL1","","R-HSA-5601888;R-HSA-5629203;R-HSA-5615682"
R-HSA-1912408,"Pre-NOTCH Transcription and Translation",1,100,0.0061942517343904855,0.1596849850901252,0.18283609280815294,2,37,0.002331736828837913,9606,Homo sapiens,"PRTN3","","R-HSA-9911236;R-HSA-9911230"
R-HSA-163125,"Post-translational modification: synthesis of GPI-anchored proteins",1,116,0.007185332011892963,0.18283609280815294,0.18283609280815294,1,16,0.001008318628686665,9606,Homo sapiens,"MEGT1;LY6G6D","","R-HSA-8940388"
R-HSA-1912422,"Pre-NOTCH Expression and Processing",1,125,0.007742814667988107,0.19558702000819006,0.19558702000819006,2,47,0.0029619359717670784,9606,Homo sapiens,"PRTN3","","R-HSA-9911236;R-HSA-9911230"
R-HSA-977606,"Regulation of Complement cascade",1,139,0.008610009910802775,0.21504126173735982,0.21504126173735982,1,42,0.0026468364003024956,9606,Homo sapiens,"PRTN3","","R-HSA-8852716"
R-HSA-114608,"Platelet degranulation ",1,142,0.00879583746283449,0.2191505997587112,0.2191505997587112,1,11,6.932190572220821E-4,9606,Homo sapiens,"LY6G6D","","R-HSA-481044"
R-HSA-1474228,"Degradation of the extracellular matrix",1,148,0.009167492566897919,0.22730713160519844,0.22730713160519844,7,105,0.006617091000756239,9606,Homo sapiens,"PRTN3","","R-HSA-1604712;R-HSA-2514823;R-HSA-2482180;R-HSA-1592316;R-HSA-1566962;R-HSA-1592270;R-HSA-1592398"
R-HSA-76005,"Response to elevated platelet cytosolic Ca2+",1,149,0.009229435084241823,0.22865854138078523,0.22865854138078523,1,14,8.822788001008318E-4,9606,Homo sapiens,"LY6G6D","","R-HSA-481044"
R-HSA-166658,"Complement cascade",1,163,0.010096630327056492,0.24734062911517996,0.24734062911517996,1,73,0.004600453743382909,9606,Homo sapiens,"PRTN3","","R-HSA-8852716"
R-HSA-5619102,"SLC transporter disorders",1,185,0.011459365708622398,0.27581967174744426,0.27581967174744426,1,64,0.00403327451474666,9606,Homo sapiens,"SLC26A3","","R-HSA-5627737"
R-HSA-5357801,"Programmed Cell Death",1,225,0.013937066402378592,0.32495962742170204,0.32495962742170204,1,194,0.012225863372825814,9606,Homo sapiens,"PRTN3","","R-HSA-9710106"
R-HSA-157118,"Signaling by NOTCH",1,260,0.016105054509415264,0.3653059514989261,0.3653059514989261,2,165,0.010398285858331233,9606,Homo sapiens,"PRTN3","","R-HSA-9911236;R-HSA-9911230"
R-HSA-5619115,"Disorders of transmembrane transporters",1,267,0.016538652130822597,0.37309131721337474,0.37309131721337474,1,87,0.005482732543483741,9606,Homo sapiens,"SLC26A3","","R-HSA-5627737"
R-HSA-76002,"Platelet activation, signaling and aggregation",1,294,0.018211100099108028,0.40226691573851725,0.40226691573851725,1,119,0.00749936980085707,9606,Homo sapiens,"LY6G6D","","R-HSA-481044"
R-HSA-1266738,"Developmental Biology",4,1968,0.12190287413280476,0.4503160042712586,0.4503160042712586,6,980,0.06175951600705823,9606,Homo sapiens,"DCT;TYR","","R-HSA-9824981;R-HSA-9855908;R-HSA-9824579;R-HSA-9825848;R-HSA-9907145;R-HSA-9824586"
R-HSA-1474244,"Extracellular matrix organization",1,351,0.021741823587710606,0.45962204752292124,0.45962204752292124,7,330,0.020796571716662465,9606,Homo sapiens,"PRTN3","","R-HSA-1604712;R-HSA-2514823;R-HSA-2482180;R-HSA-1592316;R-HSA-1566962;R-HSA-1592270;R-HSA-1592398"
R-HSA-425407,"SLC-mediated transmembrane transport",1,418,0.02589197224975223,0.5202671829362537,0.5202671829362537,1,193,0.012162843458532897,9606,Homo sapiens,"SLC26A3","","R-HSA-427666"
R-HSA-418594,"G alpha (i) signalling events",1,428,0.02651139742319128,0.5287358591781571,0.5287358591781571,4,74,0.004663473657675826,9606,Homo sapiens,"RGS20","","R-HSA-392212;R-HSA-8982012;R-HSA-8982019;R-HSA-8982020"
R-HSA-168256,"Immune System",5,2800,0.1734390485629336,0.5487633341801681,0.5487633341801681,15,1822,0.11482228384169398,9606,Homo sapiens,"DEFA4;DEFA3;PRTN3;AZU1","","R-HSA-1462039;R-HSA-1471314;R-HSA-1462003;R-HSA-1461971;R-HSA-1461982;R-HSA-1462014;R-HSA-448591;R-HSA-8852716;R-HSA-1471354;R-HSA-1462041;R-HSA-6801687;R-HSA-1462023;R-HSA-6798751;R-HSA-6798749;R-HSA-6813659"
R-HSA-449147,"Signaling by Interleukins",1,646,0.04001486620416254,0.6812822765960636,0.6812822765960636,1,505,0.031825056717922864,9606,Homo sapiens,"PRTN3","","R-HSA-448591"
R-HSA-388396,"GPCR downstream signalling",1,795,0.04924430128840436,0.7568186631691458,0.7568186631691458,8,175,0.011028485001260399,9606,Homo sapiens,"RGS20","","R-HSA-392133;R-HSA-392212;R-HSA-8982012;R-HSA-8982019;R-HSA-8982018;R-HSA-8982021;R-HSA-8981892;R-HSA-8982020"
