Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-5083636,"Defective GALNT12 causes CRCS1",3,20,0.001238850346878097,4.015103233723227E-5,0.003883512238773701,1,1,6.301991429291656E-5,9606,Homo sapiens,"MUC2;MUC5B;MUC5AC","","R-HSA-5096532"
R-HSA-5083625,"Defective GALNT3 causes HFTC",3,20,0.001238850346878097,4.015103233723227E-5,0.003883512238773701,1,1,6.301991429291656E-5,9606,Homo sapiens,"MUC2;MUC5B;MUC5AC","","R-HSA-5096537"
R-HSA-5083632,"Defective C1GALT1C1 causes TNPS",3,22,0.0013627353815659068,5.319879779142056E-5,0.003883512238773701,1,1,6.301991429291656E-5,9606,Homo sapiens,"MUC2;MUC5B;MUC5AC","","R-HSA-6785524"
R-HSA-9925563,"Developmental Lineage of Pancreatic Ductal Cells",4,77,0.004769573835480674,1.166960154392882E-4,0.00527689402332987,1,2,1.2603982858583313E-4,9606,Homo sapiens,"CLDN10;KRT7","","R-HSA-9853402"
R-HSA-977068,"Termination of O-glycan biosynthesis",3,29,0.0017963330029732408,1.1992940962113341E-4,0.00527689402332987,4,4,2.5207965717166626E-4,9606,Homo sapiens,"MUC2;MUC5B;MUC5AC","","R-HSA-977071;R-HSA-981497;R-HSA-981814;R-HSA-981809"
R-HSA-9820448,"Developmental Cell Lineages of the Exocrine Pancreas",5,170,0.010530227948463826,2.2292546576196948E-4,0.008025316767430901,3,10,6.301991429291656E-4,9606,Homo sapiens,"CLDN10;LEFTY1;KRT7","","R-HSA-9911214;R-HSA-9853402;R-HSA-9911210"
R-HSA-1433617,"Regulation of signaling by NODAL",2,12,7.433102081268583E-4,7.147215979215193E-4,0.012208637901761188,2,3,1.890597428787497E-4,9606,Homo sapiens,"LEFTY1","","R-HSA-1181351;R-HSA-1181352"
R-HSA-427601,"Inorganic anion exchange by SLC26 transporters",2,14,8.67195242814668E-4,9.688176097666368E-4,0.012208637901761188,2,5,3.150995714645828E-4,9606,Homo sapiens,"SLC26A2;SLC26A3","","R-HSA-427666;R-HSA-427555"
R-HSA-202670,"ERKs are inactivated",2,15,9.291377601585728E-4,0.0011098761728873807,0.012208637901761188,1,2,1.2603982858583313E-4,9606,Homo sapiens,"DUSP4;DUSP6","","R-HSA-203797"
R-HSA-5621480,"Dectin-2 family",3,65,0.004026263627353816,0.0012446775575810642,0.013691453133391707,1,12,7.562389715149988E-4,9606,Homo sapiens,"MUC2;MUC5B;MUC5AC","","R-HSA-8858500"
R-HSA-913709,"O-linked glycosylation of mucins",3,76,0.004707631318136769,0.0019407252744073622,0.01882670572684597,16,16,0.001008318628686665,9606,Homo sapiens,"MUC2;MUC5B;MUC5AC","","R-HSA-5694487;R-HSA-977071;R-HSA-1964505;R-HSA-913675;R-HSA-1964501;R-HSA-914017;R-HSA-914018;R-HSA-914012;R-HSA-914008;R-HSA-914010;R-HSA-981497;R-HSA-914005;R-HSA-981814;R-HSA-914006;R-HSA-6786012;R-HSA-981809"
R-HSA-3906995,"Diseases associated with O-glycosylation of proteins",3,79,0.004893458870168484,0.002165026250358748,0.01882670572684597,3,9,5.67179228636249E-4,9606,Homo sapiens,"MUC2;MUC5B;MUC5AC","","R-HSA-6785524;R-HSA-5096537;R-HSA-5096532"
R-HSA-9734767,"Developmental Cell Lineages",5,283,0.017529732408325074,0.002169601172500424,0.01882670572684597,3,22,0.0013864381144441643,9606,Homo sapiens,"CLDN10;LEFTY1;KRT7","","R-HSA-9911214;R-HSA-9853402;R-HSA-9911210"
R-HSA-1181150,"Signaling by NODAL",2,25,0.0015485629335976214,0.0030202519700043284,0.01882670572684597,3,12,7.562389715149988E-4,9606,Homo sapiens,"LEFTY1","","R-HSA-1181155;R-HSA-1181351;R-HSA-1181352"
R-HSA-198753,"ERK/MAPK targets",2,26,0.0016105054509415262,0.003260003233355624,0.01882670572684597,1,7,4.411394000504159E-4,9606,Homo sapiens,"DUSP4;DUSP6","","R-HSA-203797"
R-HSA-112409,"RAF-independent MAPK1/3 activation",2,28,0.001734390485629336,0.0037653411453691943,0.01882670572684597,2,12,7.562389715149988E-4,9606,Homo sapiens,"DUSP4;DUSP6","","R-HSA-5675376;R-HSA-5675373"
R-HSA-189200,"Cellular hexose transport",2,28,0.001734390485629336,0.0037653411453691943,0.01882670572684597,1,18,0.001134358457272498,9606,Homo sapiens,"SLC5A1","","R-HSA-429613"
R-HSA-3781865,"Diseases of glycosylation",4,203,0.012574331020812686,0.0041868148781257775,0.020934074390628887,4,72,0.004537433829089992,9606,Homo sapiens,"SLC26A2;MUC2;MUC5B;MUC5AC","","R-HSA-6785524;R-HSA-3560789;R-HSA-5096537;R-HSA-5096532"
R-HSA-450282,"MAPK targets/ Nuclear events mediated by MAP kinases",2,35,0.00216798810703667,0.005799489023872173,0.023197956095488692,1,16,0.001008318628686665,9606,Homo sapiens,"DUSP4;DUSP6","","R-HSA-203797"
R-HSA-9037629,"Lewis blood group biosynthesis",2,37,0.0022918731417244796,0.00645472166125638,0.02581888664502552,4,13,8.192588858079153E-4,9606,Homo sapiens,"FUT3","","R-HSA-9605682;R-HSA-9603986;R-HSA-9605609;R-HSA-9605644"
R-HSA-1482788,"Acyl chain remodelling of PC",2,40,0.002477700693756194,0.007497667227364002,0.028852154780564132,2,9,5.67179228636249E-4,9606,Homo sapiens,"LPCAT4","","R-HSA-1482533;R-HSA-1482547"
R-HSA-1482839,"Acyl chain remodelling of PE",2,42,0.002601585728444004,0.008232412831877256,0.028852154780564132,2,9,5.67179228636249E-4,9606,Homo sapiens,"LPCAT4","","R-HSA-1482646;R-HSA-1482667"
R-HSA-9958790,"SLC-mediated transport of inorganic anions",2,45,0.0027874132804757185,0.009392660583844692,0.028852154780564132,2,21,0.0013234182001512478,9606,Homo sapiens,"SLC26A2;SLC26A3","","R-HSA-427666;R-HSA-427555"
R-HSA-5619085,"Defective SLC26A3 causes congenital secretory chloride diarrhea 1 (DIAR1)",1,3,1.8582755203171457E-4,0.00961738492685471,0.028852154780564132,1,1,6.301991429291656E-5,9606,Homo sapiens,"SLC26A3","","R-HSA-5627737"
R-HSA-3560792,"Defective SLC26A2 causes chondrodysplasias",1,3,1.8582755203171457E-4,0.00961738492685471,0.028852154780564132,1,1,6.301991429291656E-5,9606,Homo sapiens,"SLC26A2","","R-HSA-3560789"
R-HSA-5656364,"Defective SLC5A1 causes congenital glucose/galactose malabsorption (GGM)",1,3,1.8582755203171457E-4,0.00961738492685471,0.028852154780564132,1,1,6.301991429291656E-5,9606,Homo sapiens,"SLC5A1","","R-HSA-5656356"
R-HSA-114608,"Platelet degranulation ",3,142,0.00879583746283449,0.010912151866797393,0.03273645560039218,1,11,6.932190572220821E-4,9606,Homo sapiens,"TOR4A;LEFTY1;QSOX1","","R-HSA-481007"
R-HSA-5675221,"Negative regulation of MAPK pathway",2,49,0.003035183349851338,0.011046004859187608,0.033138014577562824,2,17,0.0010713385429795815,9606,Homo sapiens,"DUSP4;DUSP6","","R-HSA-5675376;R-HSA-5675373"
R-HSA-9033658,"Blood group systems biosynthesis",2,50,0.0030971258671952428,0.01147799251491044,0.03443397754473132,4,22,0.0013864381144441643,9606,Homo sapiens,"FUT3","","R-HSA-9605682;R-HSA-9603986;R-HSA-9605609;R-HSA-9605644"
R-HSA-76005,"Response to elevated platelet cytosolic Ca2+",3,149,0.009229435084241823,0.01241065993825774,0.03723197981477322,1,14,8.822788001008318E-4,9606,Homo sapiens,"TOR4A;LEFTY1;QSOX1","","R-HSA-481007"
R-HSA-8854521,"Interaction between PHLDA1 and AURKA",1,4,2.477700693756194E-4,0.012802975594412458,0.038408926783237374,2,2,1.2603982858583313E-4,9606,Homo sapiens,"PHLDA1","","R-HSA-8853429;R-HSA-8853444"
R-HSA-5173105,"O-linked glycosylation",3,154,0.009539147670961349,0.013549958765427195,0.040649876296281584,16,37,0.002331736828837913,9606,Homo sapiens,"MUC2;MUC5B;MUC5AC","","R-HSA-5694487;R-HSA-977071;R-HSA-1964505;R-HSA-913675;R-HSA-1964501;R-HSA-914017;R-HSA-914018;R-HSA-914012;R-HSA-914008;R-HSA-914010;R-HSA-981497;R-HSA-914005;R-HSA-981814;R-HSA-914006;R-HSA-6786012;R-HSA-981809"
R-HSA-3249367,"STAT6-mediated induction of chemokines",1,5,3.097125867195243E-4,0.015978516156094247,0.0420567769637219,3,6,3.781194857574994E-4,9606,Homo sapiens,"TMEM173","","R-HSA-3249378;R-HSA-3249371;R-HSA-3249390"
R-HSA-5339717,"Signaling by LRP5 mutants ",1,6,3.7165510406342913E-4,0.01914403769884243,0.0420567769637219,1,1,6.301991429291656E-5,9606,Homo sapiens,"DKK4","","R-HSA-5339711"
R-HSA-450294,"MAP kinase activation",2,69,0.004274033696729435,0.02102838848186095,0.0420567769637219,1,32,0.00201663725737333,9606,Homo sapiens,"DUSP4;DUSP6","","R-HSA-203797"
R-HSA-5619102,"SLC transporter disorders",3,185,0.011459365708622398,0.021919157467980788,0.043838314935961575,3,64,0.00403327451474666,9606,Homo sapiens,"SLC26A2;SLC5A1;SLC26A3","","R-HSA-5656356;R-HSA-3560789;R-HSA-5627737"
R-HSA-5621481,"C-type lectin receptors (CLRs)",3,190,0.011769078295341923,0.023481768204825282,0.046963536409650564,1,68,0.004285354171918326,9606,Homo sapiens,"MUC2;MUC5B;MUC5AC","","R-HSA-8858500"
R-HSA-9652817,"Signaling by MAPK mutants",1,8,4.955401387512388E-4,0.02544514760437744,0.05089029520875488,1,1,6.301991429291656E-5,9606,Homo sapiens,"DUSP6","","R-HSA-9652816"
R-HSA-8852405,"Signaling by MST1",1,8,4.955401387512388E-4,0.02544514760437744,0.05089029520875488,3,4,2.5207965717166626E-4,9606,Homo sapiens,"MST1R","","R-HSA-6800315;R-HSA-8852522;R-HSA-8852552"
R-HSA-8981373,"Intestinal hexose absorption",1,8,4.955401387512388E-4,0.02544514760437744,0.05089029520875488,1,3,1.890597428787497E-4,9606,Homo sapiens,"SLC5A1","","R-HSA-8932955"
R-HSA-448424,"Interleukin-17 signaling",2,78,0.004831516352824579,0.02638491032326018,0.05276982064652036,1,35,0.0022056970002520796,9606,Homo sapiens,"DUSP4;DUSP6","","R-HSA-203797"
R-HSA-198725,"Nuclear Events (kinase and transcription factor activation)",2,80,0.004955401387512388,0.02764291525144391,0.05528583050288782,1,48,0.003024955886059995,9606,Homo sapiens,"DUSP4;DUSP6","","R-HSA-203797"
R-HSA-1296052,"Ca2+ activated K+ channels",1,10,6.194251734390486E-4,0.03170655212678497,0.06341310425356994,1,3,1.890597428787497E-4,9606,Homo sapiens,"KCNN4","","R-HSA-1296035"
R-HSA-8963676,"Intestinal absorption",1,11,6.813676907829534E-4,0.03482244159035308,0.06964488318070616,1,6,3.781194857574994E-4,9606,Homo sapiens,"SLC5A1","","R-HSA-8932955"
