Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-380108,"Chemokine receptors bind chemokines",2,57,0.004706465196928412,0.0032233614167913593,0.09025411967015806,2,19,0.0012273108972288612,9606,Homo sapiens,"CXCR2","P25024;P25025","R-HSA-373813;R-HSA-373791"
R-HSA-5625970,"RHO GTPases activate KTN1",1,11,9.082652134423251E-4,0.016223166476919015,0.22712433067686622,1,2,1.2919062076093276E-4,9606,Homo sapiens,"KLC3","Q6P597","R-HSA-5672083"
R-HSA-375276,"Peptide ligand-binding receptors",2,200,0.01651391297167864,0.03501726672146377,0.24458787589445674,2,85,0.005490601382339642,9606,Homo sapiens,"CXCR2","P25024;P25025","R-HSA-373813;R-HSA-373791"
R-HSA-6805567,"Keratinization",2,217,0.017917595574271323,0.040617276641464306,0.24458787589445674,2,34,0.0021962405529358567,9606,Homo sapiens,"LIPK;KRTAP3-1","Q5VXJ0;Q9BYR8","R-HSA-6809663;R-HSA-6789310"
R-HSA-418594,"G alpha (i) signalling events",2,317,0.026174552060110642,0.07947185218066632,0.24458787589445674,3,74,0.004780052968154512,9606,Homo sapiens,"CXCR2","P25024;P25025","R-HSA-749454;R-HSA-749456;R-HSA-380073"
R-HSA-373076,"Class A/1 (Rhodopsin-like receptors)",2,335,0.02766080422756172,0.08738239238973977,0.24458787589445674,2,187,0.012079323041147214,9606,Homo sapiens,"CXCR2","P25024;P25025","R-HSA-373813;R-HSA-373791"
R-HSA-983189,"Kinesins",1,64,0.005284452150937165,0.09096561348936416,0.24458787589445674,3,14,9.043343453265293E-4,9606,Homo sapiens,"KLC3","Q6P597","R-HSA-983259;R-HSA-983194;R-HSA-983266"
R-HSA-6811434,"COPI-dependent Golgi-to-ER retrograde traffic",1,103,0.008504665180414499,0.1425039031574773,0.24458787589445674,2,11,7.105484141851302E-4,9606,Homo sapiens,"KLC3","Q6P597","R-HSA-6811426;R-HSA-6811423"
R-HSA-500792,"GPCR ligand binding",2,472,0.03897283461316159,0.15418006099081671,0.24458787589445674,2,219,0.014146372973322137,9606,Homo sapiens,"CXCR2","P25024;P25025","R-HSA-373813;R-HSA-373791"
R-HSA-6798695,"Neutrophil degranulation",2,478,0.039468252002311945,0.15731466724989507,0.24458787589445674,1,10,6.459531038046638E-4,9606,Homo sapiens,"CXCR2","P25024;P25025","R-HSA-6798743"
R-HSA-6809371,"Formation of the cornified envelope",1,129,0.010651473866732722,0.1753159401806491,0.24458787589445674,1,27,0.0017440733802725921,9606,Homo sapiens,"LIPK","Q5VXJ0","R-HSA-6789310"
R-HSA-2132295,"MHC class II antigen presentation",1,130,0.010734043431591116,0.17655394612665198,0.24458787589445674,1,26,0.0016794780698921258,9606,Homo sapiens,"KLC3","Q6P597","R-HSA-2213248"
