Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-1445148,"Translocation of SLC2A4 (GLUT4) to the plasma membrane",8,72,0.00594500866980431,1.410506212717877E-6,0.0010367220663476395,5,15,9.689296557069956E-4,9606,Homo sapiens,"P31946;Q9UPT5;Q9NV70;P63104;P68371;P62258;Q9BQE3;O00159","P31946;Q9UPT5;Q9NV70;P63104;P68371;P62258;Q9BQE3;O00159","R-HSA-2316352;R-HSA-1454689;R-HSA-2316347;R-HSA-1445149;R-HSA-2316349"
R-HSA-5628897,"TP53 Regulates Metabolic Genes",8,85,0.007018413012963421,4.734618051616124E-6,0.0016102068774314082,21,34,0.0021962405529358567,9606,Homo sapiens,"P42345;P31946;Q9BVC4;P04637;P00403;P49815;P63104;P62258","P42345;P31946;Q9BVC4;P04637;P00403;P49815;P63104;P62258","R-HSA-5632759;R-HSA-5632887;R-HSA-5632914;R-HSA-5632732;R-HSA-5632924;R-HSA-5632892;R-HSA-5632766;R-HSA-163214;R-HSA-5629189;R-HSA-5628901;R-HSA-198609;R-HSA-5632993;R-HSA-380979;R-HSA-5629187;R-HSA-5628899;R-HSA-5632738;R-HSA-5632386;R-HSA-165179;R-HSA-380927;R-HSA-5632393;R-HSA-5632939"
R-HSA-199977,"ER to Golgi Anterograde Transport",10,156,0.012880852117909338,8.798944685417531E-6,0.0016102068774314082,11,39,0.0025192171048381887,9606,Homo sapiens,"P53621;Q92538;Q9H9E3;P83436;P68371;O00743;Q9BQE3;P47756;Q9UPN7;Q5H9R7","P53621;Q92538;Q9H9E3;P83436;P68371;O00743;Q9BQE3;P47756;Q9UPN7;Q5H9R7","R-HSA-6807877;R-HSA-5694421;R-HSA-6809011;R-HSA-6807875;R-HSA-6809010;R-HSA-6807872;R-HSA-6809006;R-HSA-6807868;R-HSA-6809003;R-HSA-6807866;R-HSA-6807864"
R-HSA-948021,"Transport to the Golgi and subsequent modification",10,187,0.015440508628519528,4.069616751722904E-5,0.005982336625032669,11,59,0.0038111233124475162,9606,Homo sapiens,"P53621;Q92538;Q9H9E3;P83436;P68371;O00743;Q9BQE3;P47756;Q9UPN7;Q5H9R7","P53621;Q92538;Q9H9E3;P83436;P68371;O00743;Q9BQE3;P47756;Q9UPN7;Q5H9R7","R-HSA-6807877;R-HSA-5694421;R-HSA-6809011;R-HSA-6807875;R-HSA-6809010;R-HSA-6807872;R-HSA-6809006;R-HSA-6807868;R-HSA-6809003;R-HSA-6807866;R-HSA-6807864"
R-HSA-1852241,"Organelle biogenesis and maintenance",12,299,0.024688299892659565,1.0739868666964636E-4,0.010935054955139134,24,86,0.005555196692720109,9606,Homo sapiens,"P07437;Q92538;P25705;P24539;Q9UPT5;Q92973;Q9NV70;P68371;P62258;Q16891;P06576;Q9BQE3","P07437;Q92538;P25705;P24539;Q9UPT5;Q92973;Q9NV70;P68371;P62258;Q16891;P06576;Q9BQE3","R-HSA-5623508;R-HSA-8949580;R-HSA-5625424;R-HSA-5625426;R-HSA-5617816;R-HSA-5618328;R-HSA-5618331;R-HSA-5625421;R-HSA-5625416;R-HSA-5626699;R-HSA-5624949;R-HSA-5626228;R-HSA-8949609;R-HSA-5624948;R-HSA-5624951;R-HSA-5626227;R-HSA-5626681;R-HSA-5624952;R-HSA-5638009;R-HSA-1592247;R-HSA-5623524;R-HSA-5623527;R-HSA-5626220;R-HSA-5626223"
R-HSA-8949215,"Mitochondrial calcium ion transport",4,23,0.0018990999917430436,1.2574015322230903E-4,0.010935054955139134,6,10,6.459531038046638E-4,9606,Homo sapiens,"P35232;P45880;Q8NE86;P21796","P35232;P45880;Q8NE86;P21796","R-HSA-8949145;R-HSA-8949178;R-HSA-8949659;R-HSA-8949661;R-HSA-8949649;R-HSA-8953461"
R-HSA-6807878,"COPI-mediated anterograde transport",7,102,0.008422095615556105,1.3500067845850783E-4,0.010935054955139134,10,12,7.751437245655965E-4,9606,Homo sapiens,"P53621;Q92538;Q9H9E3;P83436;P68371;Q9BQE3;P47756","P53621;Q92538;Q9H9E3;P83436;P68371;Q9BQE3;P47756","R-HSA-6807877;R-HSA-6809011;R-HSA-6807875;R-HSA-6809010;R-HSA-6807872;R-HSA-6809006;R-HSA-6807868;R-HSA-6809003;R-HSA-6807866;R-HSA-6807864"
R-HSA-114452,"Activation of BH3-only proteins",4,30,0.0024770869457517958,3.4335303157750907E-4,0.021809420233309118,6,19,0.0012273108972288612,9606,Homo sapiens,"P31946;P04637;P63104;P62258","P31946;P04637;P63104;P62258","R-HSA-139906;R-HSA-4331331;R-HSA-140214;R-HSA-139899;R-HSA-139913;R-HSA-4331340"
R-HSA-3371497,"HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand",5,57,0.004706465196928412,4.203733282331923E-4,0.021809420233309118,4,22,0.0014210968283702604,9606,Homo sapiens,"P31689;O60884;P68371;Q9BQE3;P47756","P31689;O60884;P68371;Q9BQE3;P47756","R-HSA-3371590;R-HSA-5618080;R-HSA-3371503;R-HSA-3371422"
R-HSA-8949613,"Cristae formation",4,33,0.0027247956403269754,4.90323148060523E-4,0.021809420233309118,2,2,1.2919062076093276E-4,9606,Homo sapiens,"P25705;P24539;Q16891;P06576","P25705;P24539;Q16891;P06576","R-HSA-8949609;R-HSA-8949580"
