Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-3928664,"Ephrin signaling",2,19,0.0015688217323094706,8.416097109936738E-4,0.08898395129709025,11,11,7.105484141851302E-4,9606,Homo sapiens,"P98172;P52799","P98172;P52799","R-HSA-3928633;R-HSA-3928639;R-HSA-3928594;R-HSA-3928625;R-HSA-3928641;R-HSA-3928640;R-HSA-3928615;R-HSA-3928631;R-HSA-3928614;R-HSA-4093329;R-HSA-3928580"
R-HSA-9013423,"RAC3 GTPase cycle",3,94,0.00776153909668896,0.001189582078295115,0.08898395129709025,2,6,3.8757186228279824E-4,9606,Homo sapiens,"Q00587;Q9UQB8;Q07960","Q00587;Q9UQB8;Q07960","R-HSA-9018808;R-HSA-9018806"
R-HSA-6811434,"COPI-dependent Golgi-to-ER retrograde traffic",3,103,0.008504665180414499,0.0015443075674742568,0.08898395129709025,10,11,7.105484141851302E-4,9606,Homo sapiens,"P84077;Q9P2W9;P68371","P84077;Q9P2W9;P68371","R-HSA-6811414;R-HSA-6811412;R-HSA-6811411;R-HSA-6811427;R-HSA-6811426;R-HSA-6811425;R-HSA-6811423;R-HSA-6811422;R-HSA-6811418;R-HSA-6811417"
R-HSA-1799339,"SRP-dependent cotranslational protein targeting to membrane",3,113,0.009330360828998432,0.0020092220194549704,0.08898395129709025,5,5,3.229765519023319E-4,9606,Homo sapiens,"P61619;P30050;P62906","P61619;P30050;P62906","R-HSA-1799326;R-HSA-1799330;R-HSA-1799329;R-HSA-1799335;R-HSA-1799332"
R-HSA-5619056,"Defective HK1 causes hexokinase deficiency (HK deficiency)",1,1,8.25695648583932E-5,0.0022269868726558784,0.08898395129709025,1,1,6.459531038046638E-5,9606,Homo sapiens,"P19367","P19367","R-HSA-5621888"
R-HSA-5626467,"RHO GTPases activate IQGAPs",2,32,0.0026422260754685825,0.002345070903546853,0.08898395129709025,2,5,3.229765519023319E-4,9606,Homo sapiens,"P35221;P68371","P35221;P68371","R-HSA-5672304;R-HSA-5672329"
R-HSA-194315,"Signaling by Rho GTPases",6,677,0.0558995954091322,0.0032588229688021997,0.08898395129709025,35,203,0.013112848007234675,9606,Homo sapiens,"Q00587;Q07065;P35221;Q9UQB8;P68371;Q07960","Q00587;Q07065;P35221;Q9UQB8;P68371;Q07960","R-HSA-2029469;R-HSA-2029466;R-HSA-2029465;R-HSA-8981637;R-HSA-9013145;R-HSA-9013144;R-HSA-9693125;R-HSA-9013022;R-HSA-9013009;R-HSA-9017488;R-HSA-9696266;R-HSA-2197690;R-HSA-9693198;R-HSA-9014295;R-HSA-9696268;R-HSA-9014294;R-HSA-5672329;R-HSA-9013161;R-HSA-5672304;R-HSA-442592;R-HSA-9013024;R-HSA-9017507;R-HSA-9014434;R-HSA-9013157;R-HSA-5666169;R-HSA-9018745;R-HSA-9693282;R-HSA-9018808;R-HSA-2130194;R-HSA-9018746;R-HSA-9013437;R-HSA-9014449;R-HSA-9013111;R-HSA-9018806;R-HSA-9013110"
R-HSA-8856688,"Golgi-to-ER retrograde transport",3,137,0.011312030385599869,0.0034556832643657387,0.08898395129709025,12,18,0.001162715586848395,9606,Homo sapiens,"P84077;Q9P2W9;P68371","P84077;Q9P2W9;P68371","R-HSA-8849350;R-HSA-6811427;R-HSA-6811426;R-HSA-6811425;R-HSA-8849353;R-HSA-6811414;R-HSA-6811412;R-HSA-6811411;R-HSA-6811423;R-HSA-6811422;R-HSA-6811418;R-HSA-6811417"
R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",6,693,0.05722070844686648,0.0036588018183064674,0.08898395129709025,35,212,0.013694205800658872,9606,Homo sapiens,"Q00587;Q07065;P35221;Q9UQB8;P68371;Q07960","Q00587;Q07065;P35221;Q9UQB8;P68371;Q07960","R-HSA-2029469;R-HSA-2029466;R-HSA-2029465;R-HSA-8981637;R-HSA-9013145;R-HSA-9013144;R-HSA-9693125;R-HSA-9013022;R-HSA-9013009;R-HSA-9017488;R-HSA-9696266;R-HSA-2197690;R-HSA-9693198;R-HSA-9014295;R-HSA-9696268;R-HSA-9014294;R-HSA-5672329;R-HSA-9013161;R-HSA-5672304;R-HSA-442592;R-HSA-9013024;R-HSA-9017507;R-HSA-9014434;R-HSA-9013157;R-HSA-5666169;R-HSA-9018745;R-HSA-9693282;R-HSA-9018808;R-HSA-2130194;R-HSA-9018746;R-HSA-9013437;R-HSA-9014449;R-HSA-9013111;R-HSA-9018806;R-HSA-9013110"
R-HSA-3928662,"EPHB-mediated forward signaling",2,42,0.0034679217240525142,0.0039847651932585215,0.08898395129709025,20,26,0.0016794780698921258,9606,Homo sapiens,"P98172;P52799","P98172;P52799","R-HSA-3928601;R-HSA-3928632;R-HSA-3928600;R-HSA-4093339;R-HSA-4093336;R-HSA-3928627;R-HSA-3928595;R-HSA-4093332;R-HSA-3928592;R-HSA-4093330;R-HSA-3928598;R-HSA-4093331;R-HSA-3928617;R-HSA-3928623;R-HSA-3928588;R-HSA-3928610;R-HSA-3928583;R-HSA-3928645;R-HSA-3928612;R-HSA-3928644"
R-HSA-9696270,"RND2 GTPase cycle",2,43,0.0035504912889109076,0.0041710582249804284,0.08898395129709025,1,2,1.2919062076093276E-4,9606,Homo sapiens,"Q07065;Q07960","Q07065;Q07960","R-HSA-9696266"
R-HSA-5619070,"Defective SLC16A1 causes symptomatic deficiency in lactate transport (SDLT)",1,2,1.651391297167864E-4,0.004449197564854512,0.08898395129709025,1,1,6.459531038046638E-5,9606,Homo sapiens,"P35613","P35613","R-HSA-5624211"
R-HSA-9013148,"CDC42 GTPase cycle",3,155,0.012798282553050945,0.004873175145537645,0.09259032776521525,2,6,3.8757186228279824E-4,9606,Homo sapiens,"Q00587;Q9UQB8;Q07960","Q00587;Q9UQB8;Q07960","R-HSA-9013161;R-HSA-9013157"
