Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-3928664,"Ephrin signaling",3,19,0.0015688217323094706,7.624343854928384E-6,0.002584652566820722,11,11,7.105484141851302E-4,9606,Homo sapiens,"P12931;P98172;P52799","P12931-1;P98172;P52799","R-HSA-3928633;R-HSA-3928639;R-HSA-3928594;R-HSA-3928625;R-HSA-3928641;R-HSA-3928640;R-HSA-3928615;R-HSA-3928631;R-HSA-3928614;R-HSA-4093329;R-HSA-3928580"
R-HSA-3928662,"EPHB-mediated forward signaling",3,42,0.0034679217240525142,7.99296477376199E-5,0.013508110467657763,20,26,0.0016794780698921258,9606,Homo sapiens,"P12931;P98172;P52799","P12931-1;P98172;P52799","R-HSA-3928601;R-HSA-3928632;R-HSA-3928600;R-HSA-4093339;R-HSA-4093336;R-HSA-3928627;R-HSA-3928595;R-HSA-4093332;R-HSA-3928592;R-HSA-4093330;R-HSA-3928598;R-HSA-4093331;R-HSA-3928617;R-HSA-3928623;R-HSA-3928588;R-HSA-3928610;R-HSA-3928583;R-HSA-3928645;R-HSA-3928612;R-HSA-3928644"
R-HSA-3928665,"EPH-ephrin mediated repulsion of cells",3,51,0.004211047807778053,1.4144662776205408E-4,0.01598346893711211,7,9,5.813577934241974E-4,9606,Homo sapiens,"P12931;P98172;P52799","P12931-1;P98172;P52799","R-HSA-4093327;R-HSA-3928607;R-HSA-3928654;R-HSA-3928604;R-HSA-3928642;R-HSA-3928657;R-HSA-3928628"
R-HSA-2682334,"EPH-Ephrin signaling",3,92,0.007596399966972174,7.872745235673051E-4,0.06613105997965363,46,56,0.0036173373813061173,9606,Homo sapiens,"P12931;P98172;P52799","P12931-1;P98172;P52799","R-HSA-3928633;R-HSA-3928632;R-HSA-3928639;R-HSA-3928627;R-HSA-3928625;R-HSA-3928624;R-HSA-3928631;R-HSA-3928628;R-HSA-3928617;R-HSA-3928623;R-HSA-3928610;R-HSA-3928615;R-HSA-3928614;R-HSA-3928612;R-HSA-3928602;R-HSA-3928601;R-HSA-3928600;R-HSA-3928607;R-HSA-4093339;R-HSA-4093336;R-HSA-3928604;R-HSA-3928595;R-HSA-3928594;R-HSA-3928657;R-HSA-4093332;R-HSA-3928592;R-HSA-4093330;R-HSA-3928598;R-HSA-4093331;R-HSA-3928597;R-HSA-4093329;R-HSA-3928651;R-HSA-4093327;R-HSA-3928584;R-HSA-3928648;R-HSA-3928591;R-HSA-3928654;R-HSA-3928588;R-HSA-3928578;R-HSA-3928642;R-HSA-3928641;R-HSA-3928640;R-HSA-3928583;R-HSA-3928645;R-HSA-3928580;R-HSA-3928644"
R-HSA-354192,"Integrin signaling",2,28,0.0023119478160350095,0.0014261244179172294,0.07986296740336485,19,24,0.001550287449131193,9606,Homo sapiens,"P12931","P12931-1;P12931","R-HSA-354149;R-HSA-443910;R-HSA-429415;R-HSA-354087;R-HSA-372705;R-HSA-432096;R-HSA-429441;R-HSA-443905;R-HSA-354124;R-HSA-377644;R-HSA-377641;R-HSA-377640;R-HSA-377643;R-HSA-354165;R-HSA-372693;R-HSA-354066;R-HSA-354077;R-HSA-354073;R-HSA-372697"
R-HSA-76009,"Platelet Aggregation (Plug Formation)",2,40,0.003302782594335728,0.0028685969248409826,0.10348482680301918,19,27,0.0017440733802725921,9606,Homo sapiens,"P12931","P12931-1;P12931","R-HSA-354149;R-HSA-443910;R-HSA-429415;R-HSA-354087;R-HSA-372705;R-HSA-432096;R-HSA-429441;R-HSA-443905;R-HSA-354124;R-HSA-377644;R-HSA-377641;R-HSA-377640;R-HSA-377643;R-HSA-354165;R-HSA-372693;R-HSA-354066;R-HSA-354077;R-HSA-354073;R-HSA-372697"
R-HSA-5578775,"Ion homeostasis",2,54,0.004458756502353232,0.0051405012922177695,0.10348482680301918,4,17,0.0010981202764679284,9606,Homo sapiens,"Q13586;P05023","Q13586;P05023","R-HSA-9684068;R-HSA-2089943;R-HSA-434798;R-HSA-936897"
R-HSA-177929,"Signaling by EGFR",2,55,0.004541326067211626,0.0053262311975113,0.10348482680301918,2,50,0.003229765519023319,9606,Homo sapiens,"P12931","P12931-1;P12931","R-HSA-177923;R-HSA-177937"
R-HSA-397014,"Muscle contraction",3,204,0.01684419123111221,0.007423753086567619,0.10348482680301918,8,53,0.003423551450164718,9606,Homo sapiens,"Q13586;P11532;P05023","Q13586;P11532;P05023","R-HSA-390597;R-HSA-390598;R-HSA-390593;R-HSA-390595;R-HSA-9684068;R-HSA-2089943;R-HSA-434798;R-HSA-936897"
R-HSA-191650,"Regulation of gap junction activity",1,4,3.302782594335728E-4,0.00789664391166156,0.10348482680301918,3,4,2.583812415218655E-4,9606,Homo sapiens,"P12931","P12931-2","R-HSA-191654;R-HSA-191636;R-HSA-191656"
