Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-3928664,"Ephrin signaling",2,19,0.0015688217323094706,5.141558636212462E-5,0.002467948145381982,11,11,7.105484141851302E-4,9606,Homo sapiens,"P98172;P52799","P98172;P52799","R-HSA-3928633;R-HSA-3928639;R-HSA-3928594;R-HSA-3928625;R-HSA-3928641;R-HSA-3928640;R-HSA-3928615;R-HSA-3928631;R-HSA-3928614;R-HSA-4093329;R-HSA-3928580"
R-HSA-3928662,"EPHB-mediated forward signaling",2,42,0.0034679217240525142,2.49651764849701E-4,0.005875153761374818,20,26,0.0016794780698921258,9606,Homo sapiens,"P98172;P52799","P98172;P52799","R-HSA-3928601;R-HSA-3928632;R-HSA-3928600;R-HSA-4093339;R-HSA-4093336;R-HSA-3928627;R-HSA-3928595;R-HSA-4093332;R-HSA-3928592;R-HSA-4093330;R-HSA-3928598;R-HSA-4093331;R-HSA-3928617;R-HSA-3928623;R-HSA-3928588;R-HSA-3928610;R-HSA-3928583;R-HSA-3928645;R-HSA-3928612;R-HSA-3928644"
R-HSA-3928665,"EPH-ephrin mediated repulsion of cells",2,51,0.004211047807778053,3.6719711008592615E-4,0.005875153761374818,5,9,5.813577934241974E-4,9606,Homo sapiens,"P98172;P52799","P98172;P52799","R-HSA-3928607;R-HSA-3928654;R-HSA-3928604;R-HSA-3928657;R-HSA-3928628"
R-HSA-2682334,"EPH-Ephrin signaling",2,92,0.007596399966972174,0.001181473989398385,0.01417768787278062,41,56,0.0036173373813061173,9606,Homo sapiens,"P98172;P52799","P98172;P52799","R-HSA-3928633;R-HSA-3928632;R-HSA-3928639;R-HSA-3928627;R-HSA-3928625;R-HSA-3928624;R-HSA-3928631;R-HSA-3928628;R-HSA-3928617;R-HSA-3928623;R-HSA-3928610;R-HSA-3928615;R-HSA-3928614;R-HSA-3928612;R-HSA-3928601;R-HSA-3928600;R-HSA-3928607;R-HSA-4093339;R-HSA-4093336;R-HSA-3928604;R-HSA-3928595;R-HSA-3928594;R-HSA-3928657;R-HSA-4093332;R-HSA-3928592;R-HSA-4093330;R-HSA-3928598;R-HSA-4093331;R-HSA-3928597;R-HSA-4093329;R-HSA-3928584;R-HSA-3928591;R-HSA-3928654;R-HSA-3928588;R-HSA-3928578;R-HSA-3928641;R-HSA-3928640;R-HSA-3928583;R-HSA-3928645;R-HSA-3928580;R-HSA-3928644"
R-HSA-426117,"Cation-coupled Chloride cotransporters",1,7,5.779869540087524E-4,0.004038899984919464,0.036350099864275176,1,4,2.583812415218655E-4,9606,Homo sapiens,"P55011","P55011","R-HSA-426086"
R-HSA-1482925,"Acyl chain remodelling of PG",1,18,0.0014862521674510775,0.010357492052671002,0.08285993642136802,2,10,6.459531038046638E-4,9606,Homo sapiens,"Q8NF37","Q8NF37","R-HSA-1482635;R-HSA-1482539"
R-HSA-1482788,"Acyl chain remodelling of PC",1,27,0.002229378251176616,0.015501662029979602,0.08398991602318473,2,9,5.813577934241974E-4,9606,Homo sapiens,"Q8NF37","Q8NF37","R-HSA-1482533;R-HSA-1482547"
R-HSA-1483191,"Synthesis of PC",1,28,0.0023119478160350095,0.016071819072839943,0.08398991602318473,2,17,0.0010981202764679284,9606,Homo sapiens,"Q8NF37","Q8NF37","R-HSA-8873923;R-HSA-8873834"
R-HSA-9958790,"SLC-mediated transport of inorganic anions",1,35,0.002889934770043762,0.02005499952847478,0.08398991602318473,1,21,0.001356501517989794,9606,Homo sapiens,"P55011","P55011","R-HSA-426086"
R-HSA-1483166,"Synthesis of PA",1,39,0.0032202130294773346,0.02232489098953616,0.08398991602318473,1,17,0.0010981202764679284,9606,Homo sapiens,"Q8NF37","Q8NF37","R-HSA-75885"
R-HSA-5578775,"Ion homeostasis",1,54,0.004458756502353232,0.03079689350201187,0.08398991602318473,2,17,0.0010981202764679284,9606,Homo sapiens,"P05023","P05023","R-HSA-9684068;R-HSA-936897"
R-HSA-9013409,"RHOJ GTPase cycle",1,55,0.004541326067211626,0.03135944918682443,0.08398991602318473,1,3,1.9378593114139912E-4,9606,Homo sapiens,"Q00587","Q00587","R-HSA-9017507"
