Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-3928665,"EPH-ephrin mediated repulsion of cells",4,51,0.004211047807778053,9.178748162641526E-7,8.71981075450945E-5,8,9,5.813577934241974E-4,9606,Homo sapiens,"P29320;P98172;P29317;P52799","P29320;P98172;P29317;P52799","R-HSA-4093327;R-HSA-3928607;R-HSA-3928654;R-HSA-3928604;R-HSA-3928642;R-HSA-3928657;R-HSA-3928660;R-HSA-3928628"
R-HSA-2682334,"EPH-Ephrin signaling",4,92,0.007596399966972174,9.357336260173987E-6,4.397948042281774E-4,48,56,0.0036173373813061173,9606,Homo sapiens,"P29320;P98172;P29317;P52799","P29320;P98172;P29317;P52799","R-HSA-3928633;R-HSA-3928632;R-HSA-3928639;R-HSA-3928627;R-HSA-3928625;R-HSA-3928624;R-HSA-3928631;R-HSA-3928628;R-HSA-3928617;R-HSA-3928623;R-HSA-3928610;R-HSA-3928615;R-HSA-3928614;R-HSA-3928612;R-HSA-3928602;R-HSA-3928601;R-HSA-3928600;R-HSA-3928607;R-HSA-4093339;R-HSA-4093336;R-HSA-3928604;R-HSA-3928595;R-HSA-3928594;R-HSA-4093332;R-HSA-3928592;R-HSA-4093330;R-HSA-3928598;R-HSA-4093331;R-HSA-3928597;R-HSA-4093329;R-HSA-4093327;R-HSA-3928584;R-HSA-3928591;R-HSA-3928588;R-HSA-3928578;R-HSA-3928583;R-HSA-3928580;R-HSA-3928657;R-HSA-3928660;R-HSA-3928651;R-HSA-3928648;R-HSA-3928654;R-HSA-3928642;R-HSA-3928641;R-HSA-3928640;R-HSA-3928646;R-HSA-3928645;R-HSA-3928644"
R-HSA-3928664,"Ephrin signaling",2,19,0.0015688217323094706,3.703176761756799E-4,0.011479847961446077,11,11,7.105484141851302E-4,9606,Homo sapiens,"P98172;P52799","P98172;P52799","R-HSA-3928633;R-HSA-3928639;R-HSA-3928594;R-HSA-3928625;R-HSA-3928641;R-HSA-3928640;R-HSA-3928615;R-HSA-3928631;R-HSA-3928614;R-HSA-4093329;R-HSA-3928580"
R-HSA-3928663,"EPHA-mediated growth cone collapse",2,29,0.002394517380893403,8.551507740630626E-4,0.01966846780345044,3,4,2.583812415218655E-4,9606,Homo sapiens,"P29320;P29317","P29320;P29317","R-HSA-3928651;R-HSA-3928602;R-HSA-3928648"
R-HSA-3928662,"EPHB-mediated forward signaling",2,42,0.0034679217240525142,0.0017732966838759356,0.03369263699364278,20,26,0.0016794780698921258,9606,Homo sapiens,"P98172;P52799","P98172;P52799","R-HSA-3928601;R-HSA-3928632;R-HSA-3928600;R-HSA-4093339;R-HSA-4093336;R-HSA-3928627;R-HSA-3928595;R-HSA-4093332;R-HSA-3928592;R-HSA-4093330;R-HSA-3928598;R-HSA-4093331;R-HSA-3928617;R-HSA-3928623;R-HSA-3928588;R-HSA-3928610;R-HSA-3928583;R-HSA-3928645;R-HSA-3928612;R-HSA-3928644"
R-HSA-9013149,"RAC1 GTPase cycle",3,185,0.015275369498802741,0.0024491464276342745,0.034474700838972305,1,6,3.8757186228279824E-4,9606,Homo sapiens,"Q00587;P29317;Q5VT25","Q00587;P29317;Q5VT25","R-HSA-9013145"
R-HSA-9013409,"RHOJ GTPase cycle",2,55,0.004541326067211626,0.0030064054999736634,0.034474700838972305,1,3,1.9378593114139912E-4,9606,Homo sapiens,"Q00587;Q5VT25","Q00587;Q5VT25","R-HSA-9017507"
R-HSA-6811442,"Intra-Golgi and retrograde Golgi-to-ER traffic",3,206,0.017009330360828998,0.00331609239362074,0.034474700838972305,11,48,0.003100574898262386,9606,Homo sapiens,"O43752;Q9P2W9;P47756","O43752;Q9P2W9;P47756","R-HSA-6811431;R-HSA-8849350;R-HSA-6811427;R-HSA-6811425;R-HSA-6811423;R-HSA-6811422;R-HSA-6814684;R-HSA-6814683;R-HSA-6814682;R-HSA-8849353;R-HSA-6811433"
R-HSA-9013406,"RHOQ GTPase cycle",2,59,0.004871604326645199,0.0034474700838972305,0.034474700838972305,1,5,3.229765519023319E-4,9606,Homo sapiens,"Q00587;Q5VT25","Q00587;Q5VT25","R-HSA-9018746"
R-HSA-9012999,"RHO GTPase cycle",4,452,0.03732144331599373,0.003898120041904485,0.03508308037714036,14,91,0.005878173244622441,9606,Homo sapiens,"Q00587;P29317;Q5VT25;P47756","Q00587;P29317;Q5VT25;P47756","R-HSA-9018794;R-HSA-9018766;R-HSA-9017507;R-HSA-9013157;R-HSA-9013145;R-HSA-9018808;R-HSA-9018746;R-HSA-9693125;R-HSA-9014449;R-HSA-9696266;R-HSA-9696271;R-HSA-9693198;R-HSA-9014294;R-HSA-9696268"
R-HSA-9013408,"RHOG GTPase cycle",2,74,0.006110147799521097,0.0053523110080493375,0.0428184880643947,1,6,3.8757186228279824E-4,9606,Homo sapiens,"Q00587;P29317","Q00587;P29317","R-HSA-9014449"
R-HSA-422475,"Axon guidance",4,540,0.044587565023532325,0.007312388930768354,0.0444002998405324,48,294,0.018991021251857115,9606,Homo sapiens,"P29320;P98172;P29317;P52799","P29320;P98172;P29317;P52799","R-HSA-3928633;R-HSA-3928632;R-HSA-3928639;R-HSA-3928627;R-HSA-3928625;R-HSA-3928624;R-HSA-3928631;R-HSA-3928628;R-HSA-3928617;R-HSA-3928623;R-HSA-3928610;R-HSA-3928615;R-HSA-3928614;R-HSA-3928612;R-HSA-3928602;R-HSA-3928601;R-HSA-3928600;R-HSA-3928607;R-HSA-4093339;R-HSA-4093336;R-HSA-3928604;R-HSA-3928595;R-HSA-3928594;R-HSA-4093332;R-HSA-3928592;R-HSA-4093330;R-HSA-3928598;R-HSA-4093331;R-HSA-3928597;R-HSA-4093329;R-HSA-4093327;R-HSA-3928584;R-HSA-3928591;R-HSA-3928588;R-HSA-3928578;R-HSA-3928583;R-HSA-3928580;R-HSA-3928657;R-HSA-3928660;R-HSA-3928651;R-HSA-3928648;R-HSA-3928654;R-HSA-3928642;R-HSA-3928641;R-HSA-3928640;R-HSA-3928646;R-HSA-3928645;R-HSA-3928644"
R-HSA-9013404,"RAC2 GTPase cycle",2,88,0.007266121707538601,0.007476698996335296,0.0444002998405324,1,10,6.459531038046638E-4,9606,Homo sapiens,"Q00587;P29317","Q00587;P29317","R-HSA-9014294"
R-HSA-9013423,"RAC3 GTPase cycle",2,94,0.00776153909668896,0.008486248224617965,0.0444002998405324,1,6,3.8757186228279824E-4,9606,Homo sapiens,"Q00587;P29317","Q00587;P29317","R-HSA-9018808"
