,seed_kras,seed_nras,seed_hras
MIR3184,12.337770121563,14.1798784541078,33.7015226761532
AL121963.1,10.8690187142462,12.1892908964989,22.4766665686049
LEFTY1,10.2904973419521,11.8701811963099,21.1485166582124
RP11-841O20.2,9.48358362019009,-11.3303803847897,20.68101994019
ERN2,8.85360251606417,11.3013763682655,18.0929117144488
MUC5AC,8.70969629803545,-11.0938483941998,17.0642238292465
MEGT1,-8.2550262955844,10.7543867175892,16.175382741532
AC005253.4,8.00496898881558,9.83597991831278,16.0342889931419
RP11-62J1.3,8.00495030487223,9.83271291595353,15.1345445888928
LY6G6D,-7.8876085746634,9.79924090289309,14.6539019175868
LEMD1,7.78063504500221,9.6112757411379,14.5913321448718
RP11-203M5.8,7.60996032438668,9.4217137972215,14.2590928796908
RP11-265N6.2,7.56152838176022,8.67954079725764,13.6424145610099
DPCR1,7.49680814164942,8.62664566155475,13.3364750502918
RP11-461A8.1,7.36849408890465,8.30997088401534,12.8407078096991
CTD-2012K14.3,7.32579098939362,8.13662430886471,11.5783239403438
MUC2,7.29927255501736,8.02798611584265,11.1813708527466
PDX1-AS1,6.83336559964752,7.98389580056146,11.139826496651
RP11-350J20.12,6.74511200072704,7.90230229283342,10.5311772359884
CTD-2196E14.5,6.67982967951974,7.8213664785159,10.2952651792892
TFF1,6.63113229718774,7.60114751246273,10.2124866388486
MUC5B,6.56195120023915,7.44928628184835,9.89768500109692
MIR1184-1,6.54261580746152,7.4012421512987,9.69624245288115
AC117372.1,6.50067913660475,7.27072213163103,9.17497614934092
CHST5,6.45883917181531,7.24515401218026,9.06524355485666
RP11-704M14.2,6.45066381977693,6.99087213860373,8.47704901343804
RP11-56G10.2,6.44599180905528,6.96060206954805,8.45234051430413
AC005786.7,6.37703600020057,6.9230599795352,8.24882244657831
AC002558.1,6.373878622,6.79214166782405,7.91960212705701
MIR335,6.34472434623743,6.736758946877,7.87336884532479
AC073342.1,6.33950931767244,6.71688136676801,7.5181909652547
C8orf74,6.30094022362841,6.67782124378538,7.25348215189092
AC068831.15,6.2882269223886,6.67525950676681,7.20722803160198
AL353354.2,6.20350454715998,6.67252872095753,7.16288065337873
AP001610.9,6.20006735720212,6.63647409801121,7.07822816601832
NCLP1,-6.15516839573683,6.57844124309431,6.32444172073017
DUSP4,6.14267897530138,6.5219940308153,6.2415941301426
CCDC60,6.01394014112337,6.46990542873918,5.99712345735634
SLC26A3,-6.00238003500673,6.4465197828761,5.95100593767739
AC011558.5,5.92850480011061,6.39153788010313,5.84217350509001
RP11-245P10.8,5.84838392929263,6.24206507039228,5.82898412430288
AC117834.1,5.82047562726284,6.23932102683123,5.8056392372333
RNU6-316P,5.81351065975858,6.16442283342622,5.78547357508704
MST1R,5.79016525184112,6.10766012396285,5.73262626807198
RP11-514F3.5,-5.78325302056866,6.09315798540483,5.70403316141279
ATP2C2,5.76668313913102,6.05298463942807,5.67421164543258
AC007193.9,5.73617090077501,6.04921099135741,5.61438523368697
AC093847.1,-5.6832902865301,6.02582691181782,5.53224125823504
RP11-719K4.3,5.67758484548817,6.02277573759489,5.5099847361631
REG4,5.66439437442432,6.01374659610635,5.3982801921039
AC009133.15,5.64535498059294,5.99422000727841,5.20114990695781
RP11-304L19.1,5.62223070440186,5.97585273036315,5.13598898554132
CTD-2531D15.5,5.5474589585183,5.9135743541968,4.99049861599417
CGB,5.51031593680978,5.89470809311517,4.97669281513794
AL022328.1,5.49630068344525,-5.85162188245374,4.92808411679803
RP11-234B24.2,5.46649045613633,5.84975633112148,4.91437528400536
AF235103.1,5.43314038798127,5.83996916171672,4.90749941290821
RP4-777O23.1,5.37475860771739,5.81015862532731,4.89988227344505
SPANXN3,5.37144681389145,5.80893872976718,4.84600447576058
RP11-998D10.7,5.36133579001426,5.7841284551829,-4.61860191151596
KB-1608C10.2,5.3613251980867,5.74698379953391,4.55511503060042
RP11-362K14.7,5.33377919506906,5.72201903021445,4.52412717947867
FUT3,5.30352361904827,5.70161217712279,4.50264672881718
CTD-2325A15.5,5.27691094551295,5.57971915866076,4.37676365637369
ETV4,5.25816804235018,-5.49578492064848,4.33807163562499
QSOX1,5.22884230388613,5.42180890530581,4.25934606789823
ASS1P4,-5.18864738094399,-5.3497392982342,4.25759096096405
MS4A8,5.18060709616949,-5.34605090504824,4.24370141984577
AC010132.11,5.13836979419592,5.3344076920832,4.10725857181047
GIF,5.13804569497431,5.31951317838338,4.10241646706753
CTC-425F1.4,5.1101147626465,-5.3022146659609,4.07995160086563
ARL14,5.10347997045552,5.2617303256091,4.05690273297266
CLDN10-AS1,5.10008986179816,5.25947963655547,4.03239596453809
PDE6A,-5.04970074831699,5.19872400790992,4.02226093196155
B3GNT6,5.04212495660882,5.18331999782287,4.01927418611205
AQP8,-5.02894192385937,5.16891169649644,4.00676949059735
KCNN4,5.02042000935904,5.16182594639614,4.00195786939305
LHFPL7,5.01660487768202,5.15551607605716,3.99160918412854
AC007308.7,5.00884535235842,5.13999931145972,3.95005283879142
SLC5A1,4.97261390851238,5.05972412615653,3.93562999439963
RNU7-148P,4.954203852766,-5.05932220458641,3.93548693794805
TAS2R38,4.94300488813664,5.04065615848109,3.90560210726301
RP11-747D18.1,-4.92052877691571,5.03630554608885,3.89596954637887
AC006509.7,-4.91756658416805,5.02753527699863,3.89003012825223
OR5M6P,4.89126390658634,4.99128457759077,3.88176127660028
AC007193.8,4.86616122124068,4.98705020040232,3.8449633842662
LPCAT4,4.81335166906516,4.96842478724867,3.84228755256313
FAM92A1,-4.80868289370486,4.96399388288568,3.831619835536
AC010145.4,4.77290892716088,-4.92101142331457,3.81606248240461
RP11-187E13.2,4.70006880817684,4.90404832211813,3.81179890919311
SLC26A2,-4.69994380052246,4.88781785647226,3.79935281832639
TFF2,4.69870405427626,4.87353390910903,3.79454906558365
PCDHA14,4.69470498710793,4.86245147529627,3.74994726181202
SLC18A1,4.69375019433714,4.8539719667377,3.70040635387095
AC131571.1,4.68182802893135,4.80954713109741,3.67926259926123
PLA2G10,4.62044985526587,4.80692677712597,3.67475404224228
AF129408.17,4.58595396560998,-4.80524480731474,3.65859627098735
CTD-2378E21.1,4.57701617987372,4.71035479483448,3.64862797034732
SLC51B,-4.56792784430142,-4.68883184050862,3.62636395291653
UBE2NL,-4.56346839005906,4.65510570413105,3.62076163248233
AC092104.5,4.55869523309264,4.65155033217545,3.59217548753929
OR5D3P,4.55055861414784,4.63898874260806,3.56595393754494
TMEM173,4.54629889610417,4.61965287322689,3.5648823487359
RP11-265D17.2,4.54190357040707,4.57483682690616,3.56305245418252
RP11-77K12.5,4.46937957726716,4.55932248241122,3.54893257838122
CHST13,-4.46748316952738,4.51237467047691,3.54886274151384
RN7SL328P,-4.45795558181021,4.47076926596243,3.53567818333565
HOXB6,4.43936345162785,4.45832426780162,3.51632989775369
SNORD97,4.43852494764741,4.408931828685,3.51046403018241
RP11-304L19.3,4.43613226707969,4.39157062646515,3.50728248316268
RN7SKP7,4.43280498011709,-4.3861098957601,3.50606334456522
SLC25A5P5,-4.40252652450795,4.36389627877561,3.50032438605459
KRT19P3,4.36837067878754,4.3596896036185,3.49566552865497
CLDN10,4.35617010960606,4.34804912570843,3.4948589351356
RP11-369K17.2,4.34917523264909,4.34646530368371,3.4928083536581
POFUT1,-4.34144683117628,4.32211895582322,3.47808330843946
AC104841.2,4.33740523423127,4.32147125693841,3.47603945544249
AF127577.8,-4.31253584992306,4.30933819159388,3.46842610275749
RP11-797D24.4,4.31105511125129,4.30531727151117,3.43924628087773
CAPN8,4.30439067126453,-4.30336913050166,3.43165856112337
RNU6-438P,-4.29819556826715,4.29583126898339,3.41797670488177
RP11-172C16.4,-4.27470208818467,-4.2719376181013,3.41722101886143
OR5M1,4.27461979940642,4.27017382681434,3.40717117638674
PPP1R1B,4.27083701722396,4.20080871247083,3.39920526269364
RP11-304L19.8,4.26584495391099,4.19200107907097,3.33938242193983
RNU6-461P,4.25928881030224,4.17950361420645,3.3278298798066
RP11-10N23.4,4.25011654074859,4.17946609717211,3.31838926635871
TNFRSF11A,4.23990574007005,4.1340995069313,3.30108964199896
NXF3,4.21516415179186,4.12846172264487,3.30043581339725
LRRIQ4,4.19903140339451,4.12088145671103,3.29194509672898
RP11-390C19.1,4.17261358973338,4.11961486594663,3.28663410204152
